Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
CRNOMELJ,,	1993-01-01,,Operational,Operational,Land (fixed),0-20000-0-14120|primary,Europe,,Slovenia,45.560032573,15.146057862,157,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;AGRIMET;PH;SOLRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Solar radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational",	2016-08-04,Miha DEMSAR
DAVČA,,	2015-05-18,,Operational,Partly operational,Land (fixed),0-705-0-1881|primary,Europe,,Slovenia,46.19762,14.06844,1001,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
GAČNIK,,	1999-03-10,,Operational,Operational,Land (fixed),0-705-0-1137|primary,Europe,,Slovenia,46.61778,15.68379,292,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,76|1120,GOS General:Operational,	2021-04-13,SVN NMHS
GODNJE,,	2016-02-15,,Operational,Operational,Land (fixed),0-705-0-1883|primary,Europe,,Slovenia,45.75468,13.84335,320,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
GORNJI GRAD,,	2015-10-01,,Operational,Partly operational,Land (fixed),0-705-0-1884|primary,Europe,,Slovenia,46.29874,14.80634,438,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
HOČKO POHORJE,,	2014-05-06,,Operational,Partly operational,Land (fixed),0-705-0-1885|primary,Europe,,Slovenia,46.49194,15.58751,585,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
IDRIJA,,	2016-09-23,,Operational,Partly operational,Land (fixed),0-705-0-1887|primary,Europe,,Slovenia,46.01118,14.02912,330,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
ISKRBA,,	1995-05-10,,Operational,Operational,Land (fixed),0-705-0-1082|primary,Europe,,Slovenia,45.56121,14.85804,532,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,11|190,GOS General:Operational,	2021-04-13,SVN NMHS
JERONIM,,	2014-07-17,,Operational,Partly operational,Land (fixed),0-705-0-677|primary,Europe,,Slovenia,46.26677,14.94808,760,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
JERUZALEM,,	2016-02-15,,Operational,Operational,Land (fixed),0-705-0-1888|primary,Europe,,Slovenia,46.47586,16.188,334,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
JEZERSKO,,	2015-11-11,,Operational,Partly operational,Land (fixed),0-705-0-1869|primary,Europe,,Slovenia,46.40496,14.51458,894,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
KAMNIŠKA BISTRICA,,	2016-01-11,,Operational,Partly operational,Land (fixed),0-705-0-1891|primary,Europe,,Slovenia,46.30871,14.60337,549,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
KANIN,,	2016-09-14,,Operational,Partly operational,Land (fixed),0-705-0-1892|primary,Europe,,Slovenia,46.35806,13.4744,2260,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
KATARINA,,	1993-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14012|primary,Europe,,Slovenia,46.0930151722,14.3708431227,660,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-08-04,Miha DEMSAR
KOCEVJE,,	1993-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14118|primary,Europe,,Slovenia,45.6459669053,14.8501347394,467,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-08-04,Miha DEMSAR
KORENSKO SEDLO,,	2016-05-09,,Operational,Partly operational,Land (fixed),0-705-0-1921|primary,Europe,,Slovenia,46.51666,13.75166,1072,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
KOČEVJE,,	2015-09-14,,Operational,Partly operational,Land (fixed),0-705-0-1894|primary,Europe,,Slovenia,45.64582,14.84962,468,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
KRANJ,,	2014-01-13,,Operational,Operational,Land (fixed),0-705-0-1896|primary,Europe,,Slovenia,46.24775,14.36467,392,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
KREDARICA,,	1954-01-01,,Operational,Operational,Land (fixed),0-20000-0-14008|primary,Europe,,Slovenia,46.3787671293,13.84893734,2514,,,Slovenian Environment Agency (ARSO),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M;MONT;RBCN;RBSN(S);SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station; Solar radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational",	2021-02-12,Vesna Vidmar
KREDARICA,,	1994-09-12,,Operational,Operational,Land (fixed),0-705-0-123|primary,Europe,,Slovenia,46.3787,13.8489,2513,,,Slovenian Environment Agency (ARSO),,,,,,,,2|270,GOS General:Operational,	2021-03-26,SVN NMHS
KRN,,	2015-10-01,,Operational,Partly operational,Land (fixed),0-705-0-1897|primary,Europe,,Slovenia,46.23804,13.65803,918,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
KRVAVEC,,	1999-08-06,,Operational,Operational,Land (fixed),0-705-0-11|primary,Europe,,Slovenia,46.29735,14.53331,1742,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,6|750,GOS General:Operational,	2021-04-13,SVN NMHS
KUBED,,	2016-10-25,,Operational,Partly operational,Land (fixed),0-705-0-1898|primary,Europe,,Slovenia,45.52003,13.86889,234,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
KUM,,	2016-06-15,,Operational,Operational,Land (fixed),0-705-0-1899|primary,Europe,,Slovenia,46.08786,15.07324,1211,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
Krvavec,,	1991-01-01,,Operational,Unknown,Land (fixed),0-20008-0-KVV|primary,Europe,,Slovenia,46.2973494817,14.5333143774,1740,,UTC+1,,,,"Krvavec monitoring site is located on a hillside of Alps, at 1720 m a.s.l. within Alpine climate zone. Monitoring site is surrounded mostly by short grass (above 1600 m) and partly by coniferous forest (below 1600 m). The surrounding mountain peaks are rocky (limestone). The site is situated about 30 km north of Ljubljana (capital of Slovenia), on the ridge of the south-eastern Alps (Karavanke mountain ridge with peaks of 1500-2500 m a.s.l.). The monitoring site is above the cold surface layer of air which forms in the Ljubljana basin. Sometimes, not very often, the inversion layer at the height of 2-3 km a.s.l. (caused by subsidence in a stable anticyclone) sinks below the height of the monitoring station. During such events the site is usually in the clouds.",Warm Temperate - Fully humid - Warm summer,,,,,"EMEP:Operational, GAW Regional:Operational",	2016-08-04,Miha DEMSAR
LESCE,,	1993-01-01,,Operational,Operational,Land (fixed),0-20000-0-14010|primary,Europe,,Slovenia,46.3619869701,14.1717817407,509,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET;PH;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2016-08-04,Miha DEMSAR
LETALIŠČE JOŽETA PUČNIKA LJUBLJANA,,	2017-08-18,,Operational,Operational,Land (fixed),0-705-0-1982|primary,Europe,,Slovenia,46.21138,14.47844,362,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
LISCA,,	1987-01-01,,Operational,Operational,Land (fixed),0-20000-0-14024|primary,Europe,,Slovenia,46.0677706239,15.2848952062,947,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;M;RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station; Phenological observations; Radar storm and meteorological phenomena detection.,,,,,,"GBON:Operational, GOS General:Operational, WRO:Operational",	2022-09-29,Miha DEMSAR
LISCA,,	1996-11-05,,Operational,Operational,Land (fixed),0-705-0-1034|primary,Europe,,Slovenia,46.06777,15.2849,947,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,15|460,GOS General:Operational,	2021-04-13,SVN NMHS
LITIJA,,	2014-11-10,,Operational,Partly operational,Land (fixed),0-705-0-1900|primary,Europe,,Slovenia,46.06514,14.81847,266,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
LJUBLJANA - BEŽIGRAD,,	1993-06-17,,Operational,Operational,Land (fixed),0-705-0-460|primary,Europe,,Slovenia,46.06551,14.51236,299,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,234|670,GOS General:Operational,	2021-04-13,SVN NMHS
LJUBLJANA/BEZIGRAD,,	1948-01-01,,Operational,Operational,Land (fixed),0-20000-0-14015|primary,Europe,,Slovenia,46.0655056158,14.5123590017,299,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET;CLIMAT(C);EVAP;PH;RBCN;RBSN(ST);SOILTEMP;SOLRA;SUNDUR;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2016-08-04,Miha DEMSAR
LJUBLJANA/BRNIK,,	1963-01-21,,Operational,Partly operational,Land (fixed),0-20000-0-14014|primary,Europe,,Slovenia,46.2174517367,14.4727580758,364,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;METAR;RBSN(S);SOLRA(see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-08-04,Miha DEMSAR
LOGARSKA DOLINA,,	2016-04-08,,Operational,Partly operational,Land (fixed),0-705-0-1934|primary,Europe,,Slovenia,46.39358,14.63113,776,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
LOGATEC,,	2014-01-13,,Operational,Partly operational,Land (fixed),0-705-0-367|primary,Europe,,Slovenia,45.90765,14.20317,485,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
MARIBOR - VRBANSKI PLATO,,	2016-12-06,,Operational,Operational,Land (fixed),0-705-0-1950|primary,Europe,,Slovenia,46.56778,15.62603,279,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
MARIBOR/SLIVNICA,,	1977-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14026|primary,Europe,,Slovenia,46.4796825628,15.6820504761,264,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AGRIMET;AUT;METAR;RBSN(S);SOILTEMP;SOLRA;SUNDUR(see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-08-04,Miha DEMSAR
MARINČA VAS,,	2016-06-15,,Operational,Partly operational,Land (fixed),0-705-0-1882|primary,Europe,,Slovenia,45.8719,14.81778,265,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
METLIKA,,	2016-01-11,,Operational,Operational,Land (fixed),0-705-0-1904|primary,Europe,,Slovenia,45.64416,15.32008,165,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
MEŽICA,,	2016-06-15,,Operational,Partly operational,Land (fixed),0-705-0-1905|primary,Europe,,Slovenia,46.5296,14.85964,469,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
MIKLAVŽ NA GORJANCIH,,	2016-06-15,,Operational,Partly operational,Land (fixed),0-705-0-1949|primary,Europe,,Slovenia,45.77496,15.3199,959,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
MURSKA SOBOTA,,	1983-01-01,,Operational,Operational,Land (fixed),0-20000-0-14031|primary,Europe,,Slovenia,46.6520776737,16.1912806394,186.7,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;AGRIMET;PH;RBSN(S);SOILTEMP;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Solar radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-08-04,Miha DEMSAR
MURSKA SOBOTA - RAKIČAN,,	1993-07-09,,Operational,Partly operational,Land (fixed),0-705-0-934|primary,Europe,,Slovenia,46.65208,16.19128,187,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,34|710,GOS General:Operational,	2021-04-13,SVN NMHS
NANOS,,	2016-05-09,,Operational,Partly operational,Land (fixed),0-705-0-1906|primary,Europe,,Slovenia,45.77137,14.05359,1241,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
NOVA GORICA,BILJE,	1982-01-01,,Operational,Operational,Land (fixed),0-20000-0-14106|primary,Europe,,Slovenia,45.895446637,13.6243092561,55,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;AGRIMET;PH;RBSN(S);SOILTEMP;SOLRA;SUNDUR(see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-08-04,Miha DEMSAR
NOVA VAS - BLOKE,,	2015-12-16,,Operational,Operational,Land (fixed),0-705-0-1907|primary,Europe,,Slovenia,45.76889,14.50881,718,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
NOVO MESTO,,	1963-01-01,,Operational,Operational,Land (fixed),0-20000-0-14121|primary,Europe,,Slovenia,45.8018157696,15.1772634275,220,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;AGRIMET;PH;RBSN(S);SOILTEMP;SOLRA;SUNDUR(see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Solar radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-08-04,Miha DEMSAR
NOVO MESTO,,	1993-01-18,,Operational,Operational,Land (fixed),0-705-0-604|primary,Europe,,Slovenia,45.8018157697,15.1772634275,220,,,Slovenian Environment Agency (ARSO),Empty,Empty,AWS,,,,,34|300,GOS General:Operational,	2021-04-19,Franziska Stürzl
OSILNICA,,	2016-03-14,,Operational,Partly operational,Land (fixed),0-705-0-1908|primary,Europe,,Slovenia,45.53138,14.69146,330,,,Slovenian Environment Agency (ARSO),,,,,,,,,GOS General:Operational,	2021-03-26,Vesna Vidmar
PASJA RAVAN,,	2014-01-15,,Operational,Operational,Land (fixed),0-705-0-1909|primary,Europe,,Slovenia,46.09795,14.22818,1019,,,Slovenian Environment Agency (ARSO),,,AWS+meteorological radar,,,,,,"GOS General:Operational, WRO:Operational",	2022-09-27,Miha DEMSAR
PAVLIČEVO SEDLO,,	2016-06-27,,Operational,Partly operational,Land (fixed),0-705-0-1910|primary,Europe,,Slovenia,46.42513,14.58534,1337,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
PLANINA POD GOLICO,,	2014-01-13,,Operational,Operational,Land (fixed),0-705-0-99|primary,Europe,,Slovenia,46.46722,14.05255,957,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
PODNANOS,,	2015-07-22,,Operational,Operational,Land (fixed),0-705-0-1911|primary,Europe,,Slovenia,45.80455,13.96592,153,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
PORTOROZ/SECOVLJE,,	1987-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14105|primary,Europe,,Slovenia,45.4752872079,13.6159599679,2,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A; AUT;AGRIMET;C;METAR;PH;RBSN(S);SOILTEMP;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Solar radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-08-04,Miha DEMSAR
POSTOJNA,,	1982-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14112|primary,Europe,,Slovenia,45.766104175,14.1928133051,533,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;AGRIMET;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,GOS General:Operational,	2016-08-04,Miha DEMSAR
POSTOJNA,,	2016-01-11,,Operational,Operational,Land (fixed),0-705-0-1912|primary,Europe,,Slovenia,45.77225,14.1973,538,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
PREDEL,,	2016-08-30,,Operational,Partly operational,Land (fixed),0-705-0-1913|primary,Europe,,Slovenia,46.41827,13.57836,1155,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
PTUJ,,	2016-11-28,,Operational,Partly operational,Land (fixed),0-705-0-1914|primary,Europe,,Slovenia,46.41974,15.8492,222,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
RADEGUNDA,,	2015-01-27,,Operational,Partly operational,Land (fixed),0-705-0-683|primary,Europe,,Slovenia,46.36611,14.93295,794,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
RATECE,,	1996-01-01,,Operational,Operational,Land (fixed),0-20000-0-14007|primary,Europe,,Slovenia,46.4975,13.7175,864,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET;CLIMAT(C);EVAP;PH;RBSN(S);SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
RATITOVEC,,	2016-09-14,,Operational,Partly operational,Land (fixed),0-705-0-1915|primary,Europe,,Slovenia,46.23619,14.09017,1639,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
ROGAŠKA SLATINA,,	2015-12-27,,Operational,Operational,Land (fixed),0-705-0-1918|primary,Europe,,Slovenia,46.24092,15.64388,289,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
ROGLA,,	1995-04-01,,Operational,Operational,Land (fixed),0-705-0-1044|primary,Europe,,Slovenia,46.45305,15.33147,1495,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,6|610,GOS General:Operational,	2021-04-13,SVN NMHS
RUDNO POLJE,,	1995-10-12,,Operational,Operational,Land (fixed),0-705-0-1135|primary,Europe,,Slovenia,46.34626,13.92348,1344,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,3|330,GOS General:Operational,	2021-04-13,SVN NMHS
SEVNO,,	2015-01-27,,Operational,Operational,Land (fixed),0-705-0-1922|primary,Europe,,Slovenia,45.98206,14.92361,556,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
SLAVNIK,,	2016-05-09,,Operational,Operational,Land (fixed),0-705-0-1923|primary,Europe,,Slovenia,45.53362,13.97601,1020,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
SLOVENJ GRADEC,,	1996-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14021|primary,Europe,,Slovenia,46.4895618902,15.1112254237,444,,,Meteorological Office [Slovenia],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;AGRIMET;PH;RBSN(S);SOILTEMP;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Solar radiation measurements.,,,,,,"GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-08-04,Miha DEMSAR
SLOVENSKE KONJICE,,	2016-06-15,,Operational,Operational,Land (fixed),0-705-0-1924|primary,Europe,,Slovenia,46.34326,15.43672,314,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
SVETI TRIJE KRALJI,,	2016-07-05,,Operational,Partly operational,Land (fixed),0-705-0-1925|primary,Europe,,Slovenia,46.4399,15.45665,1230,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
SVIŠČAKI,,	2016-07-05,,Operational,Operational,Land (fixed),0-705-0-1927|primary,Europe,,Slovenia,45.57564,14.39881,1302,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
TATRE,,	2016-05-06,,Operational,Partly operational,Land (fixed),0-705-0-1874|primary,Europe,,Slovenia,45.59891,14.08755,748,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
TOLMIN - VOLČE,,	2015-09-11,,Operational,Operational,Land (fixed),0-705-0-1928|primary,Europe,,Slovenia,46.1777,13.71804,188,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
TOPOL,,	2015-12-16,,Operational,Operational,Land (fixed),0-705-0-1929|primary,Europe,,Slovenia,46.09405,14.37131,692,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
TREBNJE,,	2015-07-22,,Operational,Partly operational,Land (fixed),0-705-0-1930|primary,Europe,,Slovenia,45.911,15.00721,303,,,Slovenian Environment Agency (ARSO),,,AWS,,,,,,GOS General:Operational,	2021-04-13,SVN NMHS
TROJANE - LIMOVCE,,	2016-11-01,,Operational,Operational,Land (fixed),0-705-0-1931|primary,Europe,,Slovenia,46.1984446542,14.9113323777,673,,,Slovenian Environment Agency (ARSO),Empty,Empty,AWS,,,,,,GOS General:Operational,	2021-03-26,SVN NMHS
