Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
Benguerir,,	2012-01-01,,Operational,Operational,Land (fixed),0-504-0-60188|primary,Africa,,Morocco,32.1189,-7.8894,430.68,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,"GBON:Operational, RBON:Operational, RBSN - deprecated:Closed, WRO",	2021-05-10,Mounir Aziz
Beni Mellal,,	2014-01-01,,Operational,Unknown,Air (fixed),0-504-0-60192|primary,Africa,,Morocco,32.4065,-6.3138,518,,,,,,,,,,,,GTOS:Operational,	2022-07-04,MAR NMHS 
Beni Mellal Sidi Jaber,"BENI-MELLAL,Sidi Jaber",	1970-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-60191|primary,Africa,,Morocco,32.3666666667,-6.4,468,,,Direction Générale de la Météorologie (Morocco),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;M/B;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-02-09,MAR NMHS 
Benslimane,,	2006-04-02,,Operational,Operational,Land (fixed),0-504-0-60158|primary,Africa,,Morocco,33.6459,-7.2142,191.1,GALILEO,UTC+1,Direction Générale de la Météorologie (Morocco),,,,,,,,1|60,"GBON:Operational, GOS General:Operational",	2019-04-29,Mounir Aziz
Berkane,,	2012-07-10,,Operational,Unknown,Land (fixed),0-504-1-60184|primary,Africa,,Morocco,34.9294,-2.3283,163,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Berrechid,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60238|primary,Africa,,Morocco,33.2672,-7.5831,216,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Bir Anzarane,,	2013-01-02,,Operational,Unknown,Land (fixed),0-504-1-60304|primary,Africa,,Morocco,29.1758,-9.7094,630,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Bir Gandouz,,	2013-01-01,,Operational,Unknown,Land (fixed),0-504-1-60276|primary,Africa,,Morocco,22.0524,-16.7508,40,GPS,UTC,Direction Générale de la Météorologie (Morocco),www.marocmeteo.ma,,,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of very low altitude,5|8,"RBON:Operational, RBSN(S) - deprecated:Closed",	2021-09-28,Mounir Aziz
Bni Ansar,,	2013-01-02,,Operational,Unknown,Land (fixed),0-504-1-60312|primary,Africa,,Morocco,35.267,-2.9252,3,From map,UTC,Direction Générale de la Météorologie (Morocco),www.marocmeteo.ma,,,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within plains of very low altitude,,GOS General:Operational,	2021-08-23,MAR NMHS 
Bouanane,,	2013-01-02,,Operational,Unknown,Land (fixed),0-504-1-60293|primary,Africa,,Morocco,32.03333,-3.03333,871,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Bouiblane,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60189|primary,Africa,,Morocco,33.69,-4.1025,2130,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Bouizakarne,,	2012-02-28,,Operational,Unknown,Land (fixed),0-504-1-60110|primary,Africa,,Morocco,29.1768,-9.7804,610,From map,UTC,Direction Générale de la Météorologie (Morocco),,,,Desert - Hot arid,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Boujdour,,	2012-02-26,,Operational,Unknown,Land (fixed),"0-504-1-60288|primary,0-504-1-288",Africa,,Morocco,26.1178,-14.4914,25,GPS,UTC,Direction Générale de la Météorologie (Morocco),www.marocmeteo.ma,,,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of very low altitude,45|60,"GBON:Operational, GTOS, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-02-10,Mounir Aziz
Boukraa,,	2013-01-01,,Operational,Partly operational,Land (fixed),0-504-1-60287|primary,Africa,,Morocco,26.3417,-12.8145,199,GPS,UTC+1,Direction Générale de la Météorologie (Morocco),,,,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of low altitude,4|218,"GBON:Operational, GTOS, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-02-10,Mounir Aziz
Boulemane,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60212|primary,Africa,,Morocco,33.3667,-4.7283,1745,,,,,,,,,,,,GOS General:Operational,	2021-09-28,MAR NMHS 
Boumia,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60149|primary,Africa,,Morocco,31.86667,-5.05,1671,From map,UTC,Direction Générale de la Météorologie (Morocco),,,,Desert - Hot arid,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,,GOS General:Operational,	2021-08-23,MAR NMHS 
CHEFCHAOUEN,,	1994-01-01,,Operational,Operational,Land (fixed),0-20000-0-60106|primary,Africa,,Morocco,35.1725,-5.3130555556,287,,,Direction Générale de la Météorologie (Morocco),,www.marocmeteo.ma,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;M/B;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2021-04-17,Mounir Aziz
Casablanca,Casa Anfa,	1911-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-60155|primary,Africa,,Morocco,33.5666666667,-7.6666666667,56,GPS,UTC,Direction Générale de la Météorologie (Morocco),www.marocmeteo.ma,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;OZONE;RBCN;RBSN(ST);SOILTEMP;SUNDUR;TOTRA;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Ozone observations; Total radiation measurements.,,,,,500|2000,"CLIMAT(C) - deprecated:Closed, Centennial Observing Stations:Operational, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2023-02-11,MAR NMHS 
Chichaoua,,	2014-05-05,,Operational,Operational,Land (fixed),0-504-1-60205|primary,Africa,,Morocco,31.5416,-8.7666,372,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-29,MAR NMHS 
Chtouka Ait Baha,,	2012-06-04,,Operational,Unknown,Land (fixed),0-504-1-60143|primary,Africa,,Morocco,29.9805,-9.5612,640,From map,UTC,Direction Générale de la Météorologie (Morocco),,,,Steppe - Hot arid,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Col Tichka,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60126|primary,Africa,,Morocco,31.2966,-7.3666,687,From map,UTC,Direction Générale de la Météorologie (Morocco),,,,Desert - Hot arid,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Dakhla,Cisneros,	1980-08-14,,Operational,Operational,Land (fixed),0-20000-0-60096|primary,Africa,,Morocco,23.7111111111,-15.9308333333,11,GPS,UTC,Direction Générale de la Météorologie (Morocco),www.marocmeteo.ma,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;RBCN;RBSN(S);SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,35|100,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed, RBSN(ST) - deprecated:Closed",	2023-02-09,Mounir Aziz
Debdou,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60131|primary,Africa,,Morocco,33.957,-3.038,957,From map,UTC,Direction Générale de la Météorologie (Morocco),,,,Warm temperate - Dry and hot summer,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Driouch,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60182|primary,Africa,,Morocco,34.9791,-3.39138,276,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
EL HAGOUNIA,,	2024-05-15,,Operational,Unknown,Land (fixed),0-504-0-27120003|primary,Africa,,Morocco,27.4256,-12.39071,165,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,RBON:Operational,	2024-05-30,MAR NMHS 
EL JADIDA,,	1977-06-01,,Operational,Operational,Land (fixed),0-20000-0-60165|primary,Africa,,Morocco,32.133333,-13.5501,25,GPS,,Direction Générale de la Météorologie (Morocco),,www.marocmeteo.ma,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;EVAP;M/B;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-08-07,Mounir Aziz
ESSAOUIRA,Essaouira port,	1944-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-60220|primary,Africa,,Morocco,31.509988,-9.773452,7,GPS,UTC,Direction Générale de la Météorologie (Morocco),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within plains of very low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-12-12,Mounir Aziz
ESSAOUIRA AERODRME,,	2017-06-02,,Operational,Operational,Land (fixed),0-504-0-60222|primary,Africa,,Morocco,31.4011,-9.6833,105.5,GPS,UTC,Direction Générale de la Météorologie (Morocco),www.marocmeteo.ma,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Steppe - Cold arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of low altitude,20|78,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-03-25,MAR NMHS 
El Aioun Sidi Mellouk,,	2013-01-02,,Operational,Unknown,Land (fixed),0-504-1-60313|primary,Africa,,Morocco,34.83083,-2.638333,977,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
El Gara,,	2013-01-02,,Operational,Unknown,Land (fixed),0-504-1-60235|primary,Africa,,Morocco,33.2666,-7.23333,371,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
El Hajeb,,	2012-03-08,,Operational,Unknown,Land (fixed),0-504-1-60151|primary,Africa,,Morocco,33.66667,-5.367222,1115,GPS,UTC,Direction Générale de la Météorologie (Morocco),,,,Steppe - Cold arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of high altitude,,GOS General:Operational,	2021-09-28,MAR NMHS 
El Jebha,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60159|primary,Africa,,Morocco,32.20667,-4.665556,0,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
El Ksiba,,	2013-01-02,,Operational,Unknown,Land (fixed),0-504-1-60232|primary,Africa,,Morocco,32.0955,-6.01666,1080,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Elbrouj,,	2012-04-17,,Operational,Partly operational,Land (fixed),0-504-1-60174|primary,Africa,,Morocco,32.5055,-7.1905,430,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-29,MAR NMHS 
Errachidia,Errachidia Moulay Ali Cherif,	1966-01-01,,Operational,Operational,Land (fixed),0-20000-0-60210|primary,Africa,,Morocco,31.9333333333,-4.4,1037,GPS,UTC,Direction Générale de la Météorologie (Morocco),,www.marocmeteo.ma,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;EVAP;M/B;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,15|92,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed, RBSN(ST) - deprecated:Closed",	2023-02-09,Mounir Aziz
Errich,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60154|primary,Africa,,Morocco,32.25,-4.5,1328,From map,UTC,Direction Générale de la Météorologie (Morocco),,,,Desert - Hot arid,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of high altitude,,GOS General:Operational,	2021-08-23,MAR NMHS 
FES-SAIS,,	1961-01-01,,Operational,Operational,Land (fixed),0-20000-0-60141|primary,Africa,,Morocco,33.9327,-4.975,571,GPS,UTC,Direction Générale de la Météorologie (Morocco),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;EVAP;M/B;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Warm temperate - Dry and hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of middle altitude,120|1500,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed, WRO",	2021-05-10,Mounir Aziz
FOUM ELWAD,,	2024-05-15,,Operational,Unknown,Land (fixed),0-504-0-27130001|primary,Africa,,Morocco,27.1663,-13.40504,2,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,RBON:Operational,	2024-05-30,MAR NMHS 
Fam El Hisn,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60123|primary,Africa,,Morocco,29.0117,-8.8967,479,From map,UTC,Direction Générale de la Météorologie (Morocco),,,,Desert - Hot arid,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Figuig,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60215|primary,Africa,,Morocco,32.10905,-1.2283,879,From map,UTC,,,,,Desert - Hot arid,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,GOS General:Operational,	2021-08-23,MAR NMHS 
Fkih Ben Saleh,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60181|primary,Africa,,Morocco,32.5616,-6.6988,451,From map,,Direction Générale de la Météorologie (Morocco),www.marocmeteo.ma,www.marocmeteo.ma,,,,,,50|100,GOS General:Operational,	2021-08-23,MAR NMHS 
Fnideq,,	2012-02-14,,Operational,Unknown,Land (fixed),0-504-1-60103|primary,Africa,,Morocco,35.8395,-5.3758,54,From map,UTC,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Foum Zguid,,	2013-01-02,,Operational,Unknown,Land (fixed),0-504-1-60317|primary,Africa,,Morocco,30.08805,-6.87472,700,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
GUELMIN,Guelmim,	1980-08-08,,Operational,Operational,Land (fixed),0-20000-0-60280|primary,Africa,,Morocco,29.0166666667,-10.05,300,,,Direction Générale de la Météorologie (Morocco),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;EVAP;M/B;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-07-07,MAR NMHS 
Goulmima,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60193|primary,Africa,,Morocco,31.688,-4.955,1022,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Guercif,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60194|primary,Africa,,Morocco,34.23861,-3.31361,372,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Guerguerat,,	2013-01-01,,Operational,Partly operational,Land (fixed),0-504-1-60218|primary,Africa,,Morocco,21.4253,-16.9583,20,GPS,UTC,Direction Générale de la Météorologie (Morocco),www.marocmeteo.ma,,,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of very low altitude,1|10,"GBON:Operational, GTOS, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-02-10,Mounir Aziz
Haouza,,	2013-01-01,,Operational,Unknown,Land (fixed),0-504-1-60268|primary,Africa,,Morocco,27.16,-10.9166,235,GPS,UTC,Direction Générale de la Météorologie (Morocco),www.marocmeteo.ma,,,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of low altitude,.2|1,"GBON:Operational, GTOS, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-02-09,Mounir Aziz
IFRANE,,	1958-01-01,,Operational,Operational,Land (fixed),0-20000-0-60160|primary,Africa,,Morocco,33.5,-5.1666666667,1664,,,Direction Générale de la Météorologie (Morocco),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;EVAP;M/B;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
Imintanout,,	2014-05-05,,Operational,Operational,Land (fixed),0-504-1-60196|primary,Africa,,Morocco,31.1777,-8.8475,910,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-09-29,MAR NMHS 
Immouzzer idda outanane,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60134|primary,Africa,,Morocco,30.6723,-9.4825,1184,From map,UTC,Direction Générale de la Météorologie (Morocco),,,,Steppe - Hot arid,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Imouzzer Kandar,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60167|primary,Africa,,Morocco,33.71667,-5,1372,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Imzouren,,	2013-01-02,,Operational,Unknown,Land (fixed),0-504-1-60299|primary,Africa,,Morocco,35.1333,-3.83333,41,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
Jbal Ayachi,,	2014-05-05,,Operational,Unknown,Land (fixed),0-504-1-60197|primary,Africa,,Morocco,32.5811,-4.5675,2370,,,Direction Générale de la Météorologie (Morocco),,,,,,,,,GOS General:Operational,	2021-08-23,MAR NMHS 
