Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
Doungou,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61106|primary,Africa,"Casablanca, Morocco",Niger,13.4203,8.6329,426,,,,,,,,,,,,GBON:Operational,	2023-05-30,NER NMHS
GAYA,GAYA (61099-0),	1931-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61099|primary,Africa,"Casablanca, Morocco",Niger,11.8833333333,3.45,202,,,Direction de la Meteorologie nationale [Niger],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M/B;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Partly operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-12-13,Saadou Moussa
GOURE,,	1953-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61045|primary,Africa,"Casablanca, Morocco",Niger,13.9833333333,10.3,464,,UTC+1,Direction de la Meteorologie nationale [Niger],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M/B;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Partly operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-12-13,Saadou Moussa
Goudoumaria,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61095|primary,Africa,"Casablanca, Morocco",Niger,13.701393,11.196321,345,,,,,,,,,,,,GBON:Operational,	2023-05-30,NER NMHS
Guidan Roumdji,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61101|primary,Africa,"Casablanca, Morocco",Niger,13.6624,6.7007,338,,,,,,,,,,,,GBON:Operational,	2023-05-30,NER NMHS
Guidan-sori,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61105|primary,Africa,"Casablanca, Morocco",Niger,13.5345,6.8811,359,,,,,,,,,,,,GBON:Operational,	2023-05-30,NER NMHS
Ingall,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61102|primary,Africa,"Casablanca, Morocco",Niger,16.78,6.9,484,,,,,,,,,,,,GBON:Operational,	2023-05-30,NER NMHS
Keita,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61097|primary,Africa,"Casablanca, Morocco",Niger,14.76217,5.769484,407,,,,,,,,,,,,GBON:Operational,	2023-05-30,NER NMHS
Kwaya/K.Baka,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61107|primary,Africa,"Casablanca, Morocco",Niger,13.1717,8.678,441,,,,,,,,,,,,GBON:Operational,	2023-05-30,NER NMHS
MAINE-SOROA,,	1951-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61096|primary,Africa,"Casablanca, Morocco",Niger,13.2333333333,11.9833333333,338,,UTC+1,Direction de la Meteorologie nationale [Niger],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;GSN;M/B;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Partly operational, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-12-14,Jémilatou Abdoulaye
MARADI,,	1951-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61080|primary,Africa,"Casablanca, Morocco",Niger,13.4666666667,7.0833333333,372,,UTC+1,Direction de la Meteorologie nationale [Niger],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Partly operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-12-14,Jémilatou Abdoulaye
Madaoua,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61092|primary,Africa,"Casablanca, Morocco",Niger,14.071954,5.939502,333,,UTC+1,(unknown),,,,Steppe - Hot arid,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at low relative elevation within hollows of middle altitude,,GBON:Operational,	2023-05-30,Saadou Moussa
Magaria,,	1938-01-01,,Operational,Partly operational,Land (fixed),0-562-0-61091|primary,Africa,"Casablanca, Morocco",Niger,12.9811,8.9311,461,From map,UTC+1,Direction de la Meteorologie nationale [Niger],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M/B;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Steppe - Hot arid,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at middle relative elevation within rises of middle altitude,27|106,"CLIMAT(C) - deprecated:Closed, GBON:Partly operational, GOS General:Operational",	2023-12-13,Saadou Moussa
N'GUIGMI,,	1953-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61049|primary,Africa,"Casablanca, Morocco",Niger,14.25,13.1166666667,285,,,Direction de la Meteorologie nationale [Niger],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M/B;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Partly operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-12-13,Saadou Moussa
NIAMEY-AERO,,	1944-01-01,,Operational,Operational,Land (fixed),0-20000-0-61052|primary,Africa,"Casablanca, Morocco",Niger,13.4833333333,2.1666666667,215.09,,UTC+1,Direction de la Meteorologie nationale [Niger],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GUAN;M/B;RBCN;RBSN(ST);SOILTEMP;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Steppe - Hot arid,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, GUAN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2023-12-14,Jémilatou Abdoulaye
TAHOUA,,	1922-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61043|primary,Africa,"Casablanca, Morocco",Niger,14.9,5.25,386,,,Direction de la Meteorologie nationale [Niger],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;M/B;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Partly operational, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-12-14,Jémilatou Abdoulaye
TILLABERY,,	1951-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61036|primary,Africa,"Casablanca, Morocco",Niger,14.2,1.45,209,,,Direction de la Meteorologie nationale [Niger],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M/B;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Partly operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-02-23,Jémilatou Abdoulaye
Tanout,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61099|primary,Africa,"Casablanca, Morocco",Niger,14.95,8.82,534,,,,,,,,,,,,GBON:Operational,	2023-05-30,NER NMHS
Tchintabaraden,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61098|primary,Africa,"Casablanca, Morocco",Niger,15.88,5.8,427,,,,,,,,,,,,GBON:Operational,	2023-05-30,NER NMHS
Tessaoua,,	2020-01-01,,Operational,Unknown,Land (fixed),0-562-0-61094|primary,Africa,"Casablanca, Morocco",Niger,13.741493,7.983577,410,,,,,,,,,,,,GBON:Operational,	2023-05-30,NER NMHS
ZINDER,,	1941-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-61090|primary,Africa,"Casablanca, Morocco",Niger,13.7833333333,8.9833333333,451,,,Direction de la Meteorologie nationale [Niger],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Partly operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-12-13,Jémilatou Abdoulaye
