Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
ABECHE,,	1932-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-64756|primary,Africa,,Chad,13.85,20.85,545,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-07-04,KEIRO MADJI
Déli ITRAD,,	2022-09-22,,Operational,Unknown,Land (fixed),0-148-0-CHD64914|primary,Africa,,Chad,8.71,15.859,427,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
FADA,,	1934-01-01,,Operational,Unknown,Land (fixed),0-20000-0-64757|primary,Africa,,Chad,17.1666666667,21.55,540,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
FAYA,,	1933-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-64753|primary,Africa,,Chad,18,19.1666666667,235,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-07-05,Djergo GAYA
Farchana,,	2023-05-11,,Operational,Unknown,Land (fixed),0-148-0-CHD64949|primary,Africa,,Chad,13.3519,21.4721,835,,,,,,,,,,,,GBON:Operational,	2023-06-02,TCD NMHS
Fianga,,	2022-10-20,,Operational,Unknown,Land (fixed),0-148-0-CHD64917|primary,Africa,,Chad,9.81,15.06,352,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
GOZ-BEIDA,,	1956-01-01,,Operational,Unknown,Land (fixed),0-20000-0-64755|primary,Africa,,Chad,12.2333333333,21.4166666667,557,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
Gagal,,	2022-10-18,,Operational,Unknown,Land (fixed),0-148-0-CHD64918|primary,Africa,,Chad,9.021,15.131,405,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Goré,,	2022-10-24,,Operational,Unknown,Land (fixed),0-148-0-CHD64919|primary,Africa,,Chad,7.91,16.639,442,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Goundi,,	2022-07-31,,Operational,Unknown,Land (fixed),0-148-0-CHD64920|primary,Africa,,Chad,9.3626,17.3607,372,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Gounou Gaya,,	2022-10-21,,Operational,Unknown,Land (fixed),0-148-0-CHD64921|primary,Africa,,Chad,9.608,15.492,345,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Goz-Beida,,	2023-05-14,,Operational,Unknown,Land (fixed),0-148-0-CHD64946|primary,Africa,,Chad,12.1318,21.2457,576,,,,,,,,,,,,GBON:Operational,	2023-06-02,TCD NMHS
Guelendeng,,	2022-07-30,,Operational,Unknown,Land (fixed),0-148-0-CHD64922|primary,Africa,,Chad,10.9266,15.5402,321,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Haraze Mangueigne,,	2023-02-05,,Operational,Unknown,Land (fixed),0-148-0-CHD64944|primary,Africa,,Chad,9.5647,20.5415,423,,,,,,,,,,,,GBON:Operational,	2023-06-02,TCD NMHS
Iriba,,	2023-05-08,,Operational,Unknown,Land (fixed),0-148-0-CHD64950|primary,Africa,,Chad,15.0756,22.1348,940,,,,,,,,,,,,GBON:Operational,	2023-06-02,TCD NMHS
Kyabé CT,,	2022-08-02,,Operational,Unknown,Land (fixed),0-148-0-CHD64924|primary,Africa,,Chad,9.4522,18.9245,400,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Kélo,,	2022-07-29,,Operational,Unknown,Land (fixed),0-148-0-CHD64923|primary,Africa,,Chad,9.2789,15.8007,390,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Lagon,,	2022-10-15,,Operational,Unknown,Land (fixed),0-148-0-CHD64925|primary,Africa,,Chad,9.5,14.54,352,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Laramanaye,,	2022-07-28,,Operational,Unknown,Land (fixed),0-148-0-CHD64926|primary,Africa,,Chad,8.0325,15.7036,490,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Léré,,	2022-10-17,,Operational,Unknown,Land (fixed),0-148-0-CHD64927|primary,Africa,,Chad,9.68,14.33,242,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
MAO,,	1940-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-64701|primary,Africa,,Chad,14.1166666667,15.3166666667,355,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
MONGO,,	1949-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-64758|primary,Africa,,Chad,12.1833333333,18.6833333333,427,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RBCN;RBSN(S);SOILTEMP;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
MOUNDOU,,	1933-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-64706|primary,Africa,,Chad,8.5666666667,16.0666666667,428,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
MOUSSORO,,	1963-01-01,,Operational,Unknown,Land (fixed),0-20000-0-64707|primary,Africa,,Chad,13.65,16.5,301,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
Mailao,,	2020-10-08,,Operational,Unknown,Land (fixed),0-148-0-CHD64928|primary,Africa,,Chad,11.5656,15.288,306,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Mangalmé,,	2022-09-19,,Operational,Unknown,Land (fixed),0-148-0-CHD64929|primary,Africa,,Chad,12.3551,19.6166,330,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Mani,,	2020-10-10,,Operational,Unknown,Land (fixed),0-148-0-CHD64930|primary,Africa,,Chad,12.736,14.6733,291,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Massaguet,,	2020-10-10,,Operational,Unknown,Land (fixed),0-148-0-CHD64931|primary,Africa,,Chad,12.4825,15.4385,293,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Massakory,,	2023-05-18,,Operational,Unknown,Land (fixed),0-148-0-CHD64951|primary,Africa,,Chad,12.5926,15.4412,302,,,,,,,,,,,,GBON:Operational,	2023-06-02,TCD NMHS
Massenya,,	2022-11-27,,Operational,Unknown,Land (fixed),0-148-0-CHD64932|primary,Africa,,Chad,11.399,16.176,326,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Melfi,,	2022-11-29,,Operational,Unknown,Land (fixed),0-148-0-CHD64933|primary,Africa,,Chad,11.08,17.931,413,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Moissala,,	2022-08-01,,Operational,Unknown,Land (fixed),0-148-0-CHD64934|primary,Africa,,Chad,8.3635,17.761,390,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Mongo Aéro,,	2022-09-15,,Operational,Unknown,Land (fixed),0-148-0-CHD64935|primary,Africa,,Chad,12.174,18.6786,428,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Moundou Aéro,,	2022-07-25,,Operational,Unknown,Land (fixed),0-148-0-CHD64936|primary,Africa,,Chad,8.6218,16.0738,417,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Moussafoyo ITRAD,,	2022-08-03,,Operational,Unknown,Land (fixed),0-148-0-CHD64937|primary,Africa,,Chad,8.9059,18.6391,370,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
N'Djamena Aéro,,	2022-07-24,,Operational,Unknown,Land (fixed),0-148-0-CHD64938|primary,Africa,,Chad,12.1385,15.0456,292,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-07-06,KEIRO MADJI
NDJAMENA,,	1904-01-01,,Operational,Unknown,Land (fixed),0-148-0-64700|primary,Africa,,Chad,12.08,15.02,295,,UTC+1,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;RBCN;RBSN(SP);SOILTEMP;SOLRA;SPECI;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(SP) - deprecated:Closed",	2023-07-06,Djergo GAYA
Ndjamena,N'djamena,	1904-01-01,,Operational,Operational,Land (fixed),0-20000-0-64700|primary,Africa,,Chad,12.1333333333,15.0333333333,295,,UTC+1,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;RBCN;RBSN(SP);SOILTEMP;SOLRA;SPECI;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(SP) - deprecated:Closed",	2024-06-07,KEIRO MADJI
Ngouri,,	2022-09-25,,Operational,Unknown,Land (fixed),0-148-0-CHD64939|primary,Africa,,Chad,13.6425,15.37,320,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
Oum-Hadjer,,	2022-09-18,,Operational,Unknown,Land (fixed),0-148-0-CHD64940|primary,Africa,,Chad,13.2941,19.6979,400,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
PALA,,	1946-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-64709|primary,Africa,,Chad,9.3666666667,14.9666666667,467,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
Pala,,	2022-10-14,,Operational,Unknown,Land (fixed),0-148-0-CHD64941|primary,Africa,,Chad,9.38,14.94,465,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
SARH,,	1938-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-64750|primary,Africa,,Chad,9.15,18.3833333333,365,,,Agence Nationale de la Meteorologie au Tchad,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;RBCN;RBSN(ST);SOILTEMP;SPECI;SUNDUR;WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2024-06-05,KEIRO MADJI
Sarh Aéro,,	2022-08-03,,Operational,Unknown,Land (fixed),0-148-0-CHD64942|primary,Africa,,Chad,9.1434,18.3757,363,,,Agence Nationale de la Meteorologie au Tchad,,,,,,,,,"GBON, Non-affiliated:Operational",	2023-06-02,TCD NMHS
