Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
AURILLAC,,	1979-01-01,,Operational,Operational,Land (fixed),0-20000-0-07549|primary,Europe,,France,44.8986111111,2.4211111111,639,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;METAR;RAD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-09,"FRA,NCL,PYF,SPM NMHS"
AUXERRE PERRIGNY,,,,Operational,Operational,Land (fixed),0-20000-0-07266|primary,Europe,,France,47.8247222222,3.5497222222,152,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RAD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-09,"FRA,NCL,PYF,SPM NMHS"
AVESNES RADAR,,	2005-05-01,,Operational,Unknown,Land (fixed),0-20000-0-07083|primary,Europe,,France,50.128333,3.811833,192,Survey,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.,,,,,,"GOS General:Operational, WRO:Operational",	2018-06-29,Jean-Pierre AUBAGNAC
AVIGNON,,,,Operational,Operational,Land (fixed),0-20000-0-07563|primary,Europe,,France,43.9113888889,4.9025,38,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;METAR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"Ceilometers, GBON:Operational, GOS General:Operational",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
AVORD,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-07257|primary,Europe,,France,47.0522222222,2.6422222222,177,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;METAR;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-04,"FRA,NCL,PYF,SPM NMHS"
BALE-MULHOUSE,,	1946-08-01,,Operational,Operational,Land (fixed),0-20000-0-07299|primary,Europe,,France,47.614333,7.51,263,GPS,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);MAN/AUT;METAR;RBCN;RBSN(S);SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,,,,,"CLIMAT(C) - deprecated:Closed, Ceilometers, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
BASTIA,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-07790|primary,Europe,,France,42.5405555556,9.4852777778,8,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);MAN/AUT*;METAR;RAD;RBCN;RBSN(S);SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"CLIMAT(C) - deprecated:Closed, Ceilometers, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
BEAUCOUZE,,,,Operational,Operational,Land (fixed),0-20000-0-07230|primary,Europe,,France,47.4788888889,-0.6144444444,50,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;MAN/AUT*;RAD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-04,"FRA,NCL,PYF,SPM NMHS"
BEAUVAIS-TILLE,,	1944-11-01,,Operational,Operational,Land (fixed),0-20000-0-07055|primary,Europe,,France,49.4465,2.127167,89,GPS,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;MAN/AUT*;METAR;RAD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"Ceilometers, GBON:Operational, GOS General:Operational",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
BELLE ILE-LE TALUT,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-07207|primary,Europe,,France,47.2944444444,-3.2183333333,34,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;C;CLIMAT(C);MAN/AUT*;RBCN;RBSN(S);SEA;SNOW;SWELL (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations; Snow survey; Swell observations.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-01-04,"FRA,NCL,PYF,SPM NMHS"
BERGERAC,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-07530|primary,Europe,,France,44.8230555556,0.5241666667,52,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;METAR;RAD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"Ceilometers, GBON:Operational, GOS General:Operational",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
BESANCON,,	1884-12-01,,Operational,Partly operational,Land (fixed),0-20000-0-07288|primary,Europe,,France,47.249,5.988833,307,GPS,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;MAN/AUT*;RAD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-09,"FRA,NCL,PYF,SPM NMHS"
BEZIERS-VIAS,,,,Operational,Operational,Land (fixed),0-20000-0-07638|primary,Europe,,France,43.3219444444,3.3527777778,17,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;METAR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"Ceilometers, GBON:Operational, GOS General:Operational",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
BIARRITZ-ANGLET,,,,Operational,Operational,Land (fixed),0-20000-0-07602|primary,Europe,,France,43.4694444444,-1.5344444444,75,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;MAN/AUT*;METAR;RAD;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,,,,,,"Ceilometers, GBON:Operational, GOS General:Operational",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
BISCAROSSE,,	1969-01-01,,Operational,Operational,Land (fixed),0-20000-0-07503|primary,Europe,,France,44.4316666667,-1.2475,35,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;C;METAR;RAD;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-04,"FRA,NCL,PYF,SPM NMHS"
BLAISY HAUT RADAR,,,,Operational,Unknown,Land (fixed),0-20000-0-07274|primary,Europe,,France,47.3552777778,4.7758333333,592,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.,,,,,,"GOS General:Operational, WRO:Operational",	2016-04-29,
BLOIS,,	2001-01-01,,Operational,Operational,Land (fixed),0-20000-0-07245|primary,Europe,,France,47.6794444444,1.2125,121,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;RAD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-09,"FRA,NCL,PYF,SPM NMHS"
BOLLENE-RADAR,,,,Operational,Unknown,Land (fixed),0-20000-0-07569|primary,Europe,,France,44.3230555556,4.7622222222,309,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.,,,,,,"GOS General:Operational, WRO:Operational",	2016-04-29,
BORDEAUX MERIGNAC,,	1920-11-01,,Operational,Operational,Land (fixed),0-20000-0-07510|primary,Europe,,France,44.8305555556,-0.6913888889,51,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);MAN/AUT;METAR;RAD;RBCN;RBSN(ST);RSD;SNOW;SOILTEMP;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Radar storm and meteorological phenomena detection; Snow survey; Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, Ceilometers, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed, WRO:Operational",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
BOULOGNE,,	1947-01-01,,Operational,Operational,Land (fixed),0-20000-0-07002|primary,Europe,,France,50.7325,1.599667,73,GPS,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;MAN/AUT;SEA;SNOW (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations; Snow survey.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-04,"FRA,NCL,PYF,SPM NMHS"
BOURG ST-MAURICE,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-07497|primary,Europe,,France,45.6127777778,6.7633333333,865,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;MAN/AUT*;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-09,"FRA,NCL,PYF,SPM NMHS"
BOURGES,,	1851-01-01,,Operational,Operational,Land (fixed),0-20000-0-07255|primary,Europe,,France,47.0591666667,2.3597222222,161,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);GSN;MAN/AUT*;RAD;RBCN;RBSN(S);RSD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Radar storm and meteorological phenomena detection; Snow survey.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed, WRO:Operational",	2024-01-09,"FRA,NCL,PYF,SPM NMHS"
BREST-GUIPAVAS,,	1945-01-01,,Operational,Operational,Land (fixed),0-20000-0-07110|primary,Europe,,France,48.45,-4.3833,94,GPS,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);MAN/AUT;METAR;RAD;RBCN;RBSN(ST);SNOW;SOILTEMP;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey; Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, Ceilometers, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2024-04-19,"FRA,NCL,PYF,SPM NMHS"
BRIGNOGAN,,	1983-01-01,,Operational,Operational,Land (fixed),0-20000-0-07107|primary,Europe,,France,48.6763888889,-4.3311111111,9,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;C;MAN/AUT*;SEA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations.,,,,,,GOS General:Operational,	2018-04-10,Jean-Pierre AUBAGNAC
BRIVE,,	1983-01-01,,Operational,Operational,Land (fixed),0-20000-0-07438|primary,Europe,,France,45.1480555556,1.4744444444,112,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RAD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-09,"FRA,NCL,PYF,SPM NMHS"
BRIVE SOUILLAC,,	2010-06-15,,Operational,Operational,Land (fixed),0-20000-0-07439|primary,Europe,,France,45.036333,1.491667,295,GPS,UTC+1,Météo France,,,,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-04,"FRA,NCL,PYF,SPM NMHS"
CAEN-CARPIQUET,,,,Operational,Operational,Land (fixed),0-20000-0-07027|primary,Europe,,France,49.18,-0.4561111111,78,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);MAN/AUT*;METAR;RAD;RBCN;RBSN(S);SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"CLIMAT(C) - deprecated:Closed, Ceilometers, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
CALVI,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-07754|primary,Europe,,France,42.5294444444,8.7913888889,64,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;MAN/AUT*;METAR;SNOW;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-04,"FRA,NCL,PYF,SPM NMHS"
CANNES,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-07684|primary,Europe,,France,43.5563888889,6.9505555556,4,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;METAR;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-04,"FRA,NCL,PYF,SPM NMHS"
CAP BEAR,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-07749|primary,Europe,,France,42.5166666667,3.135,82,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;C;MAN/AUT*;SEA;SNOW (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations; Snow survey.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-04,"FRA,NCL,PYF,SPM NMHS"
CAP CEPET,,	1966-01-01,,Operational,Operational,Land (fixed),0-20000-0-07661|primary,Europe,,France,43.0794444444,5.9408333333,115,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;C;CLIMAT(C);MAN/AUT*;RBCN;RBSN(S);SEA;SNOW (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations; Snow survey.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Closed, RBSN(S) - deprecated:Closed",	2022-07-28,Joel GUEUSQUIN
CAP CORSE,,	1962-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-07785|primary,Europe,,France,43.0038888889,9.3594444444,72,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT+;C;MAN/AUT*;SEA;SNOW;SWELL (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations; Snow survey; Swell observations.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-04,"FRA,NCL,PYF,SPM NMHS"
CAP PERTUSATO,,	2001-01-01,,Operational,Operational,Land (fixed),0-20000-0-07770|primary,Europe,,France,41.3747222222,9.1783333333,107,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;C;MAN/AUT*;SEA;SNOW;SWELL (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations; Snow survey; Swell observations.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-04,"FRA,NCL,PYF,SPM NMHS"
CAP-DE-LA HEVE,,	1882-01-01,,Operational,Operational,Land (fixed),0-20000-0-07028|primary,Europe,,France,49.509,0.071167,100,GPS,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;MAN/AUT;SEA;SNOW (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations; Snow survey.,,,,,,GOS General:Operational,	2023-03-01,Joel GUEUSQUIN
CARCASSONNE,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-07635|primary,Europe,,France,43.2152777778,2.2955555556,132,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;METAR;RAD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"Ceilometers, GBON:Operational, GOS General:Operational",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
CARPENTRAS,,	1973-01-01,,Operational,Operational,Land (fixed),0-20000-0-07586|primary,Europe,,France,44.0830555556,5.0591666667,99,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RAD;SKYRA;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Sky radiation measurements; Solar radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-09,"FRA,NCL,PYF,SPM NMHS"
CAZAUX,,	1921-01-01,,Operational,Operational,Land (fixed),0-20000-0-07502|primary,Europe,,France,44.534667,-1.132,23,GPS,UTC+1,Météo France,,,,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-04,"FRA,NCL,PYF,SPM NMHS"
CHAMBERY-AIX-LES-BAINS,,,,Operational,Operational,Land (fixed),0-20000-0-07491|primary,Europe,,France,45.6413888889,5.8780555556,237,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;MAN/AUT*;METAR;RAD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"Ceilometers, GBON:Operational, GOS General:Operational",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
CHARLEVILLE-MEZ,,	1990-01-01,,Operational,Operational,Land (fixed),0-20000-0-07075|primary,Europe,,France,49.782833,4.643167,147,GPS,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;RAD;SNOW;SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"Ceilometers, GBON:Operational, GOS General:Operational",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
CHARTRES,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-07143|primary,Europe,,France,48.4602777778,1.5011111111,155,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;RAD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-09,"FRA,NCL,PYF,SPM NMHS"
CHATEAUDUN,,	2001-01-01,,Operational,Operational,Land (fixed),0-20000-0-07140|primary,Europe,,France,48.0613888889,1.3763888889,132,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;METAR;RAD;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational",	2024-01-04,"FRA,NCL,PYF,SPM NMHS"
CHATEAUROUX DEOLS,,,,Operational,Operational,Land (fixed),0-20000-0-07354|primary,Europe,,France,46.8697222222,1.7411111111,161,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;MAN/AUT*;METAR;RAD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey.,,,,,,"Ceilometers, GBON:Operational, GOS General:Operational",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
CHERVES RADAR,,,,Operational,Unknown,Land (fixed),0-20000-0-07336|primary,Europe,,France,46.6986111111,0.0655555556,159,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.,,,,,,"GOS General:Operational, WRO:Operational",	2016-04-29,
CLERMONT-FERRAND,,	1966-01-01,,Operational,Operational,Land (fixed),0-20000-0-07460|primary,Europe,,France,45.7869444444,3.1494444444,333,,,Météo France,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);METAR;RAD;RBCN;RBSN(S);SNOW;SOILTEMP;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Snow survey; Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, Ceilometers, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed, Wind Profilers",	2024-04-18,"FRA,NCL,PYF,SPM NMHS"
