Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
PLOVDIV,,	1951-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15626|primary,Europe,,Bulgaria,42.0666666667,24.85,154,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M/B;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
PLOVDIV-KRUMOVO,,	1951-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15625|primary,Europe,,Bulgaria,42.1333333333,24.75,179,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M/B;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,GOS General:Operational,	2016-04-28,
RAZGRAD,,	1980-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-15549|primary,Europe,,Bulgaria,43.566167,26.507722,346,,UTC+2,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M/B;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of low altitude,,"GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-05-22,Stanislava Radeva
ROJEN,,	2001-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15726|primary,Europe,,Bulgaria,41.8833333333,24.7333333333,1754,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);M;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational",	2016-04-28,
ROUSSE,,	1960-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15535|primary,Europe,,Bulgaria,43.85,25.95,37,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M/B;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,GOS General:Operational,	2016-04-28,
SANDANSKI,,	1960-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-15712|primary,Europe,,Bulgaria,41.55,23.2666666667,206,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;M/B;RBSN(S);SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Total radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-05-22,Stanislava Radeva
SHABLA,,	1977-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15561|primary,Europe,,Bulgaria,43.5333333333,28.5333333333,27,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;EVAP;M/B;SEA/SWELL;SEATEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sea and swell observations.,,,,,,GOS General:Operational,	2016-04-28,
SILISTRA,,	1960-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15550|primary,Europe,,Bulgaria,44.1166666667,27.2666666667,16,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M/B (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,GOS General:Operational,	2016-04-28,
SLIVEN *,,	1889-01-01,,Operational,Operational,Land (fixed),0-20000-0-15640|primary,Europe,,Bulgaria,42.6666666667,26.3333333333,257,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(S);STATION WITHOUT OBSERVING PROGRAMME/SANS PROGRAMME D'OBSERVATION* (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"Centennial Observing Stations:Operational, GBON:Operational, GCW affiliated station:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-07-05,Stanislava Radeva
SNEJANKA (TOP/SOMMET),,	1960-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15725|primary,Europe,,Bulgaria,41.6666666667,24.6833333333,1923,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M;MONT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station.,,,,,,GOS General:Operational,	2016-04-28,
SOFIA (OBSERV.),,	1952-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-15614|primary,Europe,,Bulgaria,42.65,23.3833333333,595,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;GUAN;M/B;RBCN;RBSN(ST);SKYRA;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Total radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, GUAN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2020-03-20,Stanislava Radeva
SVICHTOV,,	1960-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15533|primary,Europe,,Bulgaria,43.6166666667,25.35,24,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M/B (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,GOS General:Operational,	2016-04-28,
SVILENGRAD,,	1960-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15741|primary,Europe,,Bulgaria,41.7666666667,26.2,54,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M/B;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,GOS General:Operational,	2016-04-28,
VARNA,,	1960-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-15552|primary,Europe,,Bulgaria,43.2,27.95,40,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);EVAP;M/B;RBCN;RBSN(S);SEA/SWELL;SEATEMP;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sea and swell observations; Total radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed, WRO:Operational",	2016-04-29,
VELIKO TARNOVO,,	1977-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15530|primary,Europe,,Bulgaria,43.0833333333,25.65,217,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;M/B;SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,GOS General:Operational,	2016-04-28,
VIDIN,,	1991-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-15502|primary,Europe,,Bulgaria,43.9833333333,22.85,34,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M/B;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-05-22,Stanislava Radeva
VRATZA,,	1951-01-01,,Operational,Unknown,Land (fixed),0-20000-0-15505|primary,Europe,,Bulgaria,43.2,23.5333333333,308,,,National Institute of Meteorology and Hydrology [Bulgaria],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M/B;SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,GOS General:Operational,	2016-04-28,
