Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
Budapest Pestszentlőrinc,,	1953-06-15,,Operational,Operational,Land (fixed),"0-348-1-44527|primary,0-20000-0-12843",Europe,,Hungary,47.429167,19.182222,138.1,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;OZONE;RADSAMP;RAREP;RBCN;RBSN(ST);SKYRA;SOILTEMP;SOLRA;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ozone observations; Radioactive sampling; Sky radiation measurements; Solar radiation measurements; Total radiation measur,Warm Temperate - Fully humid - Warm summer,Grasslands(Surface cover types (IGBP)),"Open (Open flat terrain; grass, few isolated obstacles)",A flat (inapplicable) relative elevation within plains of low altitude,1700|2720,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-05-10,Imre Szöllősi
Budapest Zugliget,,	2014-12-17,	2024-07-22,Closed,Operational,Land (fixed),0-348-1-34433|primary,Europe,,Hungary,47.50778,18.96611,420,,,,,,,,,,,,GOS General:Closed,	2024-07-24,Imre Szöllősi
Budapest belterület,,	1985-04-01,,Operational,Unknown,Land (fixed),0-348-1-44121|primary,Europe,,Hungary,47.511111,19.028056,152.3,(unknown),UTC+1,HungaroMet Hungarian Meteorological Service,,,,Snow - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of low altitude,764|2570,GOS General:Operational,	2023-10-10,Imre Szöllősi
Budapest Állatkert,,	2016-04-12,,Operational,Unknown,Land (fixed),0-348-1-44167|primary,Europe,,Hungary,47.51861,19.07611,105,,,,,,,,,,,,GOS General:Operational,	2023-10-06,Imre Szöllősi
Budapest Újpest,,	2001-04-28,,Operational,Operational,Land (fixed),0-348-1-44165|primary,Europe,,Hungary,47.57333,19.075,104.8,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Buj Nádastótanya,,	2021-04-20,,Operational,Operational,Land (fixed),0-348-1-62707|primary,Europe,,Hungary,48.06833,21.60528,105,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Bátaapáti,,	2012-07-18,,Operational,Unknown,Land (fixed),0-348-1-38305|primary,Europe,,Hungary,46.21917,18.61056,154,,,,,,,,,,,,GBON:Operational,	2022-09-13,Imre Szöllősi
Békéscsaba repülőtér,,	2019-12-13,,Operational,Operational,Land (fixed),"0-348-1-66522|primary,0-20000-0-12992",Europe,,Hungary,46.679722,21.160833,87,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT(21-03);EVAP;GAMMA RAY;METAR;RADSAMP;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Radioactive sampling.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of very low altitude,,"GBON:Operational, GOS General:Operational",	2022-09-13,Imre Szöllősi
Csenger,,	2014-06-05,,Operational,Operational,Land (fixed),0-348-1-73313|primary,Europe,,Hungary,47.84556,22.66306,117.6,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Csurgó,,	2014-06-04,,Operational,Operational,Land (fixed),0-348-1-28104|primary,Europe,,Hungary,46.22861,17.10889,134,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Debrecen Kismacs,,	2020-01-30,,Operational,Operational,Land (fixed),0-348-1-64310|primary,Europe,,Hungary,47.57666,21.5825,125,GPS,UTC+1,HungaroMet Hungarian Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of low altitude,,"GBON:Operational, GOS General:Operational",	2022-09-13,Imre Szöllősi
Debrecen repülőtér,,	2016-10-05,,Operational,Operational,Land (fixed),"0-348-1-64711|primary,0-20000-0-12882",Europe,,Hungary,47.4844444,21.6055556,106.6,GPS,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GAMMA RAY;METAR;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Total radiation measurements.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of low altitude,217|540,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-05-10,Imre Szöllősi
Debrecen repülőtér (észak),,	2016-10-15,,Operational,Operational,Land (fixed),0-348-1-64710|primary,Europe,,Hungary,47.49528,21.62361,106,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Derecske Petőfi major,,	2021-06-23,,Operational,Operational,Land (fixed),0-348-1-64713|primary,Europe,,Hungary,47.36528,21.54972,97,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Dobogókő,,	2018-09-13,,Operational,Unknown,Land (fixed),0-348-1-33832|primary,Europe,,Hungary,47.71972,18.89889,698,,,,,,,,,,,,GOS General:Operational,	2023-10-05,Imre Szöllősi
Dunaújváros,,	2007-05-18,,Operational,Operational,Land (fixed),0-348-1-36407|primary,Europe,,Hungary,46.95056,18.95222,146.7,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Edelény,,	2000-10-19,	2022-12-02,Closed,Unknown,Land (fixed),0-348-1-52309|primary,Europe,,Hungary,48.28694,20.74194,130.6,,,,,,,,,,,,GOS General:Closed,	2023-01-18,Imre Szöllősi
Edelény,,	2022-12-01,,Operational,Operational,Land (fixed),0-348-1-52313|primary,Europe,,Hungary,48.28722,20.74139,130.6,,UTC+1,HungaroMet Hungarian Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within plains of low altitude,,GOS General:Operational,	2023-01-18,Imre Szöllősi
Eger,,	2006-06-15,,Operational,Unknown,Land (fixed),"0-348-1-53215|primary,0-20000-0-12870",Europe,,Hungary,47.903889,20.388889,224.2,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;SOILTEMP;SPECI;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Total radiation measurements.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of low altitude,,GBON:Operational,	2024-05-10,Imre Szöllősi
Felcsút,,	1999-03-31,,Operational,Operational,Land (fixed),0-348-1-34712|primary,Europe,,Hungary,47.44944,18.5775,144.2,,,,,,,,,,,11|790,GOS General:Operational,	2021-12-06,HUN NMHS
Fertőrákos,,	2003-11-07,,Operational,Unknown,Land (fixed),"0-348-1-13711|primary,0-20000-0-12805",Europe,,Hungary,47.71472,16.66583,116.8,,,,,,,,,,,,GBON:Operational,	2024-04-30,Lucia Cappelletti
Folyás,,	1997-12-20,,Operational,Operational,Land (fixed),0-348-1-63502|primary,Europe,,Hungary,47.8030555,21.1377777,91.7,GPS,UTC+1,HungaroMet Hungarian Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of very low altitude,,"GBON:Operational, GOS General:Operational",	2022-09-13,Imre Szöllősi
Fonyód,,	1997-09-24,,Operational,Operational,Land (fixed),0-348-1-26710|primary,Europe,,Hungary,46.74917,17.5525,105.6,,,,,,,,,,,10|300,GOS General:Operational,	2021-12-06,HUN NMHS
Fülöpháza Hattyús-szék,,	2017-06-29,,Operational,Unknown,Land (fixed),0-348-1-46214|primary,Europe,,Hungary,46.87111,19.42194,107.7,,,,,,,,,,,,GBON:Operational,	2022-09-13,Imre Szöllősi
Gagybátor,,	2021-06-03,,Operational,Silent,Land (fixed),0-348-1-51812|primary,Europe,,Hungary,48.44139,20.94583,227,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Gelej,,	2021-09-06,,Operational,Operational,Land (fixed),0-348-1-53407|primary,Europe,,Hungary,47.8425,20.80583,97,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Gerecse tető,,	2015-05-28,,Operational,Operational,Land (fixed),0-348-1-33605|primary,Europe,,Hungary,47.67583,18.49333,619,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Gyöngyössolymos Nyírjes,,	1993-01-01,,Operational,Operational,Land (fixed),0-348-1-43416|primary,Europe,,Hungary,47.9,19.94694,619,,,,,,,,,,,18|420,GOS General:Operational,	2021-12-06,HUN NMHS
Győr Egyetem,,	2020-02-18,,Operational,Unknown,Land (fixed),0-348-1-23714|primary,Europe,,Hungary,47.69306,17.6275,124,,,,,,,,,,,,GBON:Operational,	2022-09-13,Imre Szöllősi
Győr Likócs,,	1972-08-08,,Operational,Operational,Land (fixed),"0-348-1-23703|primary,0-20000-0-12822",Europe,,Hungary,47.71,17.674722,115.7,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT(21-03);EVAP;GAMMA RAY;RADSAMP;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Radioactive sampling; Total radiation measurements.,Snow - Fully humid - Hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hollows of low altitude,,"GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-06-29,Imre Szöllősi
Hajós,,	2005-04-13,,Operational,Operational,Land (fixed),0-348-1-47505|primary,Europe,,Hungary,46.39667,19.15111,91.8,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Hidasnémeti,,	1998-03-23,,Operational,Operational,Land (fixed),0-348-1-61104|primary,Europe,,Hungary,48.51056,21.235,156.1,,,,,,,,,,,11|500,GOS General:Operational,	2021-12-06,HUN NMHS
Iklódbördőce,,	1997-09-25,,Operational,Operational,Land (fixed),0-348-1-17306|primary,Europe,,Hungary,46.60556,16.61306,164.3,,,,,,,,,,,12|520,GOS General:Operational,	2021-12-06,HUN NMHS
Jászapáti,,	1998-08-10,,Operational,Operational,Land (fixed),0-348-1-54107|primary,Europe,,Hungary,47.52,20.14889,93.4,,,,,,,,,,,15|410,GOS General:Operational,	2021-12-06,HUN NMHS
Jósvafő,,	1996-09-18,,Operational,Unknown,Land (fixed),"0-348-1-51705|primary,0-20000-0-12766",Europe,,Hungary,48.495278,20.536111,307.9,,,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GBON:Operational,	2022-09-13,Imre Szöllősi
Kab-hegy,,	1999-10-13,,Operational,Operational,Land (fixed),0-348-1-25713|primary,Europe,,Hungary,47.04694,17.65694,593.7,,,,,,,,,,,19|350,GOS General:Operational,	2021-12-06,HUN NMHS
Kakucs,,	1999-03-25,,Operational,Operational,Land (fixed),0-348-1-45208|primary,Europe,,Hungary,47.24528,19.36028,114.3,,,,,,,,,,,18|1870,GOS General:Operational,	2021-12-06,HUN NMHS
Kaposvár Fészerlak,,	2006-03-20,,Operational,Operational,Land (fixed),0-348-1-27815|primary,Europe,,Hungary,46.36278,17.87389,128.5,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Karcag,,	2004-06-08,,Operational,Operational,Land (fixed),0-348-1-55405|primary,Europe,,Hungary,47.28944,20.89028,87.3,,,,,,,,,,,,GOS General:Operational,	2022-09-13,Imre Szöllősi
Katymár,,	2014-06-11,,Operational,Operational,Land (fixed),0-348-1-48507|primary,Europe,,Hungary,46.03778,19.19972,110.3,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Kecskemét K-puszta,,	1993-09-23,,Operational,Unknown,Land (fixed),0-348-1-46304|primary,Europe,,Hungary,46.96556,19.545,125.9,,,,,,,,,,,31|400,GBON:Operational,	2022-09-13,Imre Szöllősi
Kecskemét repülőtér,,	2011-09-05,,Operational,Operational,Land (fixed),"0-348-1-46400|primary,0-20000-0-12970",Europe,,Hungary,46.912222,19.759722,113.7,,,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2024-05-10,Imre Szöllősi
Kecskemét repülőtér (észak),,	2011-12-08,,Operational,Operational,Land (fixed),0-348-1-46313|primary,Europe,,Hungary,46.92139,19.73917,113,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Kelebia,,	1998-09-15,,Operational,Operational,Land (fixed),0-348-1-48302|primary,Europe,,Hungary,46.19556,19.60639,132.3,,,,,,,,,,,12|310,GOS General:Operational,	2021-12-06,HUN NMHS
Keszthely Tanyakereszt,,	1973-01-01,,Operational,Operational,Land (fixed),0-348-1-26505|primary,Europe,,Hungary,46.73556,17.23861,110.7,,,,,,,,,,,26|310,GOS General:Operational,	2021-12-06,HUN NMHS
Kisbárapáti,,	1999-04-21,,Operational,Operational,Land (fixed),0-348-1-27406|primary,Europe,,Hungary,46.61722,17.87028,163,,,,,,,,,,,4|290,GOS General:Operational,	2021-12-06,HUN NMHS
Kiskunmajsa,,	1999-04-07,,Operational,Operational,Land (fixed),0-348-1-47710|primary,Europe,,Hungary,46.49417,19.745,104.2,,,,,,,,,,,8|310,GOS General:Operational,	2021-12-06,HUN NMHS
Kiszombor,,	2014-05-22,,Operational,Operational,Land (fixed),0-348-1-58213|primary,Europe,,Hungary,46.19,20.39917,79.7,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Kompolt,,	2000-11-30,,Operational,Operational,Land (fixed),0-348-1-53521|primary,Europe,,Hungary,47.73972,20.23583,122.3,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Kunmadaras külterület,,	2006-11-07,,Operational,Operational,Land (fixed),0-348-1-54817|primary,Europe,,Hungary,47.46556,20.89083,87.8,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Káld,,	1998-08-11,,Operational,Operational,Land (fixed),0-348-1-25503|primary,Europe,,Hungary,47.16056,17.03972,169.2,,,,,,,,,,,5|330,GOS General:Operational,	2021-12-06,HUN NMHS
Kékestető,,	1967-01-01,,Operational,Operational,Land (fixed),"0-348-1-53101|primary,0-20000-0-12851",Europe,,Hungary,47.872222,20.012778,1010.8,,,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;GAMMA RAY;M;SPECI;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Total radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational",	2024-05-10,Imre Szöllősi
Körösladány,,	2005-06-24,,Operational,Operational,Land (fixed),0-348-1-66103|primary,Europe,,Hungary,46.97778,21.05444,84.4,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Körösszakál,,	1997-10-22,,Operational,Operational,Land (fixed),0-348-1-65700|primary,Europe,,Hungary,47.01972,21.59417,94.5,,,,,,,,,,,6|430,GOS General:Operational,	2021-12-06,HUN NMHS
Lénárddaróc,,	2021-07-08,,Operational,Unknown,Land (fixed),0-348-1-52614|primary,Europe,,Hungary,48.14417,20.37361,278,,,,,,,,,,,,GBON:Operational,	2022-09-13,Imre Szöllősi
Lőkösháza,,	2014-06-27,,Operational,Operational,Land (fixed),0-348-1-67507|primary,Europe,,Hungary,46.42833,21.24361,100.2,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Martonvásár,,	2008-11-20,,Operational,Unknown,Land (fixed),0-348-1-35418|primary,Europe,,Hungary,47.31111,18.78,109,,,,,,,,,,,,GBON:Operational,	2022-09-13,Imre Szöllősi
Miskolc Diósgyőr,,	2013-06-27,,Operational,Operational,Land (fixed),"0-348-1-52744|primary,0-20000-0-12772",Europe,,Hungary,48.0947222222,20.7266666667,161,,,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RADSAMP;RBCN;RBSN(S);SOILTEMP;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radioactive sampling.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-05-10,Imre Szöllősi
Miskolc Szentlélek,,	1998-12-04,,Operational,Operational,Land (fixed),0-348-1-52733|primary,Europe,,Hungary,48.12194,20.52444,751.4,,,,,,,,,,,45|620,GOS General:Operational,	2021-12-06,HUN NMHS
Mosonmagyaróvár,,	1994-07-01,,Operational,Unknown,Land (fixed),"0-348-1-23201|primary,0-20000-0-12815",Europe,,Hungary,47.889722,17.267222,120,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of low altitude,,GBON:Operational,	2022-09-13,Imre Szöllősi
Nagy-Hideg-hegy,,	1999-05-19,,Operational,Unknown,Land (fixed),0-348-1-33431|primary,Europe,,Hungary,47.93639,18.92167,853.8,,,,,,,,,,,6|850,GOS General:Operational,	2024-05-02,Imre Szöllősi
Nagyhegyes Elep,,	2021-08-06,,Operational,Operational,Land (fixed),0-348-1-64209|primary,Europe,,Hungary,47.53778,21.30917,89,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Nagykanizsa,,	1979-05-21,,Operational,Operational,Land (fixed),"0-348-1-17809|primary,0-20000-0-12925",Europe,,Hungary,46.456111,16.970556,138.8,GPS,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RADSAMP;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radioactive sampling; Total radiation measurements.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hollows of low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2024-05-09,Imre Szöllősi
Nagykutas,,	1999-04-22,,Operational,Unknown,Land (fixed),"0-348-1-16414|primary,0-20000-0-12915",Europe,,Hungary,46.92583,16.81278,239.1,,,,,,,,,,,26|360,GBON:Operational,	2024-04-30,Lucia Cappelletti
Napkor,,	2020-03-16,,Operational,Unknown,Land (fixed),"0-348-1-63413|primary,0-20000-0-12892",Europe,,Hungary,47.962222,21.886944,141,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;RADSAMP;RAREP;SOILTEMP;SPECI;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radioactive sampling; Total radiation measurements.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of low altitude,,GBON:Operational,	2022-09-13,Imre Szöllősi
Nemeskisfalud,,	1998-08-12,,Operational,Operational,Land (fixed),0-348-1-27615|primary,Europe,,Hungary,46.44,17.37444,185.9,,,,,,,,,,,5|260,GOS General:Operational,	2021-12-06,HUN NMHS
Nyíregyháza repülőtér,,	2021-03-25,,Operational,Operational,Land (fixed),0-348-1-63305|primary,Europe,,Hungary,47.98083,21.69111,103,,,,,,,,,,,,GOS General:Operational,	2024-05-03,Imre Szöllősi
Nyíregyháza repülőtér (észak),,	2023-10-27,,Operational,Operational,Land (fixed),0-348-1-63306|primary,Europe,,Hungary,47.99,21.69056,103,,,,,,,,,,,,RBON:Operational,	2024-05-03,HUN NMHS
Nyírkáta Herczeghtanya,,	2021-09-06,,Operational,Operational,Land (fixed),0-348-1-73110|primary,Europe,,Hungary,47.86361,22.22222,150,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Nyírlugos,,	1998-03-11,,Operational,Operational,Land (fixed),0-348-1-73505|primary,Europe,,Hungary,47.69611,22.05694,155.7,,,,,,,,,,,9|470,GOS General:Operational,	2021-12-06,HUN NMHS
Nyírtass,,	2021-06-14,,Operational,Operational,Land (fixed),0-348-1-72512|primary,Europe,,Hungary,48.10056,22.04611,104,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Orosháza,,	2000-10-31,,Operational,Operational,Land (fixed),0-348-1-57311|primary,Europe,,Hungary,46.5441666,20.6875,87.8,GPS,UTC+1,HungaroMet Hungarian Meteorological Service,,,,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of very low altitude,,"GBON:Operational, GOS General:Operational",	2022-09-13,Imre Szöllősi
Paks,,	1985-11-29,,Operational,Operational,Land (fixed),"0-348-1-37402|primary,0-20000-0-12950",Europe,,Hungary,46.573611,18.845556,96.2,,UTC+1,HungaroMet Hungarian Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of low altitude,,"GBON:Operational, GOS General:Operational",	2024-05-10,Imre Szöllősi
Paks Atomerőmű,,	2011-06-07,,Operational,Operational,Land (fixed),0-348-1-37405|primary,Europe,,Hungary,46.575,18.84722,98,,,,,,,,,,,,GOS General:Operational,	2021-12-06,HUN NMHS
Penc Obszervatórium,,	1998-09-11,,Operational,Unknown,Land (fixed),0-348-1-43613|primary,Europe,,Hungary,47.79,19.28361,241.9,,,,,,,,,,,18|2220,GBON:Operational,	2022-09-13,Imre Szöllősi
