Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
GHADAMES,,	1944-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-62103|primary,Africa,,Libya,30.1108333333,9.4905555555,347,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RBCN;RBSN(ST);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed, RBSN(T) - deprecated:Closed",	2023-07-05,Faraj M ZAYET
GHAT,,	1979-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-62212|primary,Africa,,Libya,25.1397222222,10.1511111111,699,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);EVAP;M;M/B;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-01-05,Faraj M ZAYET
GIGHBUB,,	1943-01-01,,Operational,Partly operational,Land (fixed),0-434-0-62176|primary,Africa,,Libya,29.75425,24.517,-1,,UTC+2,Libyan National Meteorological Centre,,,,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of very low altitude,,"CLIMAT(C) - deprecated, GBON:Operational, RBON:Operational, RBSN - deprecated, RBSN(S) - deprecated",	2023-01-05,Faraj M ZAYET
HON,,	1945-01-01,,Operational,Operational,Land (fixed),0-20000-0-62131|primary,Africa,,Libya,29.1341666666,15.935,267,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;GSN;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GSN:Partly operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-01-03,Faraj M ZAYET
JALO,,	1943-01-01,,Operational,Operational,Land (fixed),0-20000-0-62161|primary,Africa,,Libya,29.0275,21.5461111111,45.46,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-01-05,Faraj M ZAYET
KUFRA,,	1943-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-62271|primary,Africa,,Libya,24.1986111111,23.3,417,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);EVAP;GSN;M/B;RBCN;RBSN(S);STATION TEMPORARILY CLOSED / TEMPORAIREMENT FERMEE;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-01-05,Faraj M ZAYET
MISURATA,,	1944-01-01,,Operational,Operational,Land (fixed),0-20000-0-62016|primary,Africa,,Libya,32.2426,15.0211,33,,UTC+2,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;C;CLIMAT(C);EVAP;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Steppe - Cold arid,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-01-19,Faraj M ZAYET
NALUT,,	1944-01-01,,Operational,Operational,Land (fixed),0-20000-0-62002|primary,Africa,,Libya,31.5144444444,10.5977777777,622,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);EVAP;M;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-01-19,Faraj M ZAYET
OBARI,,	1990-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-62200|primary,Africa,,Libya,26.6,12.7833333333,463,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-01-05,Faraj M ZAYET
SEBHA,,	1945-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-62124|primary,Africa,,Libya,27.0166666667,14.45,435,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;M/B;METAR;RBCN;RBSN(ST);SPECI;STATION TEMPORARILY CLOSED / TEMPORAIREMENT FERMEE;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2023-01-05,Faraj M ZAYET
SHAHAT,,	1945-01-01,,Silent,Unknown,Land (fixed),0-20000-0-62056|primary,Africa,,Libya,32.8,21.8833333333,649,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M;RBCN;RBSN(S);STATION TEMPORARILY CLOSED / TEMPORAIREMENT FERMEE;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Stand-by, RBSN(S) - deprecated:Closed",	2017-11-08,Faraj M ZAYET
SIRTE,,	1946-01-01,,Operational,Operational,Land (fixed),0-20000-0-62019|primary,Africa,,Libya,31.2083333333,16.5719444444,13,,UTC+2,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);EVAP;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-01-02,Faraj M ZAYET
TAZERBO,,	1962-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-62259|primary,Africa,,Libya,25.6727777777,21.0905555555,260,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-01-05,Faraj M ZAYET
TOBRUK,,	1948-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-62062|primary,Africa,,Libya,32.0955555555,23.9588888888,50,,UTC+2,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);EVAP;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of very low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-01-06,Faraj M ZAYET
TRAGEN,,	2016-02-22,,Operational,Operational,Land (fixed),0-434-0-62225|primary,Africa,,Libya,25.9436111111,14.4177777777,468,,UTC-2,Libyan National Meteorological Centre,,,,,,,,,"GBON:Operational, GOS General, RBON:Operational, RBSN(ST) - deprecated",	2023-01-05,Faraj M ZAYET
TRIPOLI INTERNATIONAL AIRPORT,,	1944-01-01,	2022-06-07,Closed,Unknown,Land (fixed),0-20000-0-62010|primary,Africa,,Libya,32.7,13.0833333333,63,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;M/B;METAR;RBCN;RBSN(S);SPECI;STATION TEMPORARILY CLOSED / TEMPORAIREMENT FERMEE;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,,,,,,"CLIMAT(C) - deprecated:Closed, GSN:Closed, RBCN - deprecated:Closed, RBON:Closed, RBSN(S) - deprecated:Closed",	2022-09-22,Faraj M ZAYET
TRIPOLI UPPER AIR STATION,SWANI,	2001-01-01,	2022-06-07,Closed,Unknown,Land (fixed),0-20001-0-62010|primary,Africa,,Libya,32.7405555556,13.0819444444,64,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T);STATION TEMPORARILY CLOSED / TEMPORAIREMENT FERMEE (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GOS General:Closed, RBON:Closed, RBSN(T) - deprecated:Closed",	2022-09-22,Faraj M ZAYET
YEFREN,,	1983-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-62008|primary,Africa,,Libya,32.0403,12.3128,690.84,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-01-05,Faraj M ZAYET
ZALLA,,	2016-02-28,,Silent,Unknown,Land (fixed),0-20000-0-62140|primary,Africa,,Libya,28.5855555556,17.2997222222,,,,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT(DCP) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Stand-by,	2017-11-08,Faraj M ZAYET
ZUARA,,	1944-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-62007|primary,Africa,,Libya,32.9315,12.099108,4,,UTC+2,Libyan National Meteorological Centre,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;C;CLIMAT(C);EVAP;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-07-05,Faraj M ZAYET
