Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
BAD EISENKAPPEL,,	1967-03-01,,Operational,Operational,Land (fixed),0-20000-0-11234|primary,Europe,,Austria,46.4905548096,14.5933332443,623,(unknown),UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Polar - Tundra,Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational",	2021-10-06,Silke Adler
BAD GASTEIN,,	2009-09-01,,Operational,Unknown,Land (fixed),0-20000-0-11372|primary,Europe,,Austria,47.1105537415,13.1333332062,1092,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2023-04-18,Silke Adler
BAD GLEICHENBERG,,	2003-04-08,,Operational,Operational,Land (fixed),0-20000-0-11244|primary,Europe,,Austria,46.8722229004,15.9036111832,269,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
BAD GOISERN,,	1995-01-01,	2016-04-27,Closed,Unknown,Land (fixed),0-20000-0-11354|primary,Europe,,Austria,47.6425018311,13.6180553436,502.1,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,	2021-09-28,AUT NMHS
BAD MITTERNDORF,,	1983-11-01,,Operational,Operational,Land (fixed),0-20000-0-11358|primary,Europe,,Austria,47.5533332825,13.9347219467,814,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
BAD RADKERSBURG,,	1992-08-01,	2016-04-06,Closed,Unknown,Land (fixed),0-20000-0-11248|primary,Europe,,Austria,46.6858329773,15.9794445038,209.8,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,	2021-09-28,AUT NMHS
BAD TATZMANNSDORF,,	2004-09-01,,Operational,Operational,Land (fixed),0-20000-0-11193|primary,Europe,,Austria,47.328056,16.228056,332,,UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2024-01-29,Silke Adler
BADEN,,	1982-11-05,	2012-05-31,Closed,Unknown,Land (fixed),0-20000-0-11081|primary,Europe,,Austria,48.0113888889,16.2355555556,244.8,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;PH (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,GOS General:Closed,	2020-02-10,Silke Adler
BAERNKOPF,,	2003-11-01,,Operational,Operational,Land (fixed),0-20000-0-11367|primary,Europe,,Austria,48.3911111111,15.0027777778,969,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-04-26,AUT NMHS
BISCHOFSHOFEN,,	1980-06-01,,Operational,Operational,Land (fixed),0-20000-0-11141|primary,Europe,,Austria,47.406665802,13.2211112976,550,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
BRAND,,,,Operational,Operational,Land (fixed),0-20000-0-11304|primary,Europe,,Austria,47.1030540466,9.7383337021,1029,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
BREGENZ,,	1869-06-01,,Operational,Operational,Land (fixed),0-20000-0-11101|primary,Europe,,Austria,47.499168396,9.7461109161,424,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT+;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Total radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
BRENNER NEU,,	2007-12-01,,Operational,Operational,Land (fixed),0-20000-0-11129|primary,Europe,,Austria,47.007222,11.510833,1412,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-30,Silke Adler
BRUNNENKOGEL/OETZTALER ALPEN,,	2003-07-01,,Operational,Operational,Land (fixed),0-20000-0-11318|primary,Europe,,Austria,46.912776947,10.8616666793,3437,,UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Polar - Tundra,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at high relative elevation within rises of high altitude,,"GBON:Operational, GOS General:Operational",	2021-10-05,Silke Adler
DELLACH IM DRAUTAL,,	1983-05-01,,Operational,Operational,Land (fixed),0-20000-0-11270|primary,Europe,,Austria,46.7419433594,13.082777977,628,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
DEUTSCHLANDSBERG,,	1995-08-01,,Operational,Operational,Land (fixed),0-20000-0-11285|primary,Europe,,Austria,46.8216667175,15.2269439697,354,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
DOELLACH,,	2004-05-26,,Operational,Unknown,Land (fixed),0-20000-0-11206|primary,Europe,,Austria,46.9580574036,12.9025001526,1071,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;IRREGULAR;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2021-09-28,AUT NMHS
DORNBIRN,,	1992-04-01,,Operational,Operational,Land (fixed),0-20000-0-11302|primary,Europe,,Austria,47.4324989319,9.7255554199,407,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
EISENSTADT,,	1936-01-01,,Operational,Operational,Land (fixed),0-20000-0-11190|primary,Europe,,Austria,47.8541679382,16.5383338928,184,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Total radiation measurements.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of low altitude,24|1550,"GBON:Operational, GOS General:Operational",	2023-12-13,Silke Adler
FEISTRITZ OB BLEIBURG,,	1991-10-01,,Operational,Operational,Land (fixed),0-20000-0-11232|primary,Europe,,Austria,46.561389,14.765,523,,UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Cool summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of middle altitude,,"GBON:Operational, GOS General:Operational",	2022-11-28,Silke Adler
FELDBACH,,	1998-11-01,,Operational,Operational,Land (fixed),0-20000-0-11298|primary,Europe,,Austria,46.948890686,15.8797225952,323,,UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,"GBON:Operational, GOS General:Operational",	2021-10-05,Silke Adler
FELDKIRCH,,	1875-06-01,,Operational,Operational,Land (fixed),0-20000-0-11105|primary,Europe,,Austria,47.2711105347,9.6097221375,438.4,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
FELDKIRCHEN (11052-0),,,,Operational,Unknown,Land (fixed),0-20000-0-11052|primary,Europe,,Austria,48.0655555556,13.0625,550,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RAREP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GOS General:Operational, WRO:Operational",	2016-04-29,
FELDKIRCHEN (11227-0),,	1995-07-01,,Operational,Operational,Land (fixed),0-20000-0-11227|primary,Europe,,Austria,46.7219429016,14.0969448089,546,,UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of middle altitude,,"GBON:Operational, GOS General:Operational",	2021-10-05,Silke Adler
FEUERKOGEL,,	1928-01-01,,Operational,Operational,Land (fixed),0-20000-0-11155|primary,Europe,,Austria,47.8166656494,13.7177782059,1618.1,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M;METAR;MONT;RBCN;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational",	2021-09-28,AUT NMHS
FISCHBACH,,,,Operational,Operational,Land (fixed),0-20000-0-11173|primary,Europe,,Austria,47.4441680908,15.6438884735,1034,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
FRANKENMARKT,,	2004-03-01,,Operational,Unknown,Land (fixed),0-20000-0-11352|primary,Europe,,Austria,47.9913902283,13.4230556488,565,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2021-09-28,AUT NMHS
FREISTADT,,	1961-01-01,	2014-08-04,Closed,Unknown,Land (fixed),0-20000-0-11015|primary,Europe,,Austria,48.5061111111,14.5061111111,549,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,	2020-02-17,Silke Adler
FRIESACH,,	1958-05-01,,Operational,Partly operational,Land (fixed),0-20000-0-11228|primary,Europe,,Austria,46.9586105347,14.4058332443,640,(unknown),UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;IRREGULAR;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,Snow - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of middle altitude,7|280,GOS General:Operational,	2023-12-04,Silke Adler
Freya Glacier,,	2011-08-01,,Operational,Unknown,Land (fixed),0-40-0-AWSFreya1|primary,Europe,,Austria,74.3879,-20.8328,683,,UTC-3,"GeoSphere Austria - Bundesanstalt für Geologie, Geophysik, Klimatologie und Meteorologie",http://glacio-live.at/glacier/fre,,"Freya Glacier is one of the very few direct mass balance observation sites amongst Greenland’s peripheral glaciers. Seasonal mass balance observations started in 2007, the automatic weather station (AWS) on the glacier surface (a PROMICE setup) is running since 2016. The AWS is operated by Geosphere Austria in close cooperation with University of Graz and GEUS.",Polar - Tundra,Permanent snow and ice(Surface cover types (GlobCover2009)),,,,GCW CryoNet station:Operational,	2023-07-10,Marion Greilinger
GALTUER,,	1996-12-01,,Operational,Operational,Land (fixed),0-20000-0-11312|primary,Europe,,Austria,46.9680557251,10.1855554581,1587,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-10-05,Silke Adler
GALZIG,,	1993-09-01,,Operational,Operational,Land (fixed),0-20000-0-11110|primary,Europe,,Austria,47.1297222222,10.2302777778,2079,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;M;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-30,Silke Adler
GARS AM KAMP,,	1999-03-01,	2016-05-18,Closed,Unknown,Land (fixed),0-20000-0-11023|primary,Europe,,Austria,48.5955543518,15.6677780151,267,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,	2021-09-28,AUT NMHS
GMUNDEN,,	1892-01-01,,Operational,Unknown,Land (fixed),0-20000-0-11154|primary,Europe,,Austria,47.9147224426,13.8074998856,424.4,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2021-09-28,AUT NMHS
GRAZ UNIVERSITAET,,	1894-01-01,,Operational,Operational,Land (fixed),0-20000-0-11290|primary,Europe,,Austria,47.0777777778,15.4488888889,366.7,,UTC+1,"GeoSphere Austria - Bundesanstalt für Geologie, Geophysik, Klimatologie und Meteorologie",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Total radiation measurements.,Snow - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of middle altitude,,"Centennial Observing Stations:Operational, GBON:Operational, GOS General:Operational",	2023-07-03,Silke Adler
GRAZ UNIVERSITAET/Heinrichstraße,,	2023-06-29,,Operational,Operational,Land (fixed),0-40-0-11291|primary,Europe,,Austria,47.08,15.448056,366,,UTC+1,,,,,Snow - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of middle altitude,,"Centennial Observing Stations:Operational, GOS General:Operational",	2024-08-13,Silke Adler
GRAZ-THALERHOF-FLUGHAFEN,,	1939-02-01,,Operational,Operational,Land (fixed),0-20000-0-11240|primary,Europe,,Austria,46.9805555556,15.44,340,,,Austro Control,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT+;CLIMAT(C);METAR;RBCN;RBSN(S);SUNDUR;WR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed, RBSN(ST) - deprecated:Closed",	2020-02-24,Gregor Mitternast
GRAZ/STRASSGANG,,	2007-12-01,,Operational,Unknown,Land (fixed),0-20000-0-11238|primary,Europe,,Austria,47.0461111111,15.4102777778,356.5,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2020-02-04,Silke Adler
GROEBMING,,,,Operational,Operational,Land (fixed),0-20000-0-11359|primary,Europe,,Austria,47.4466667175,13.9041662216,765.5,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
GROSSENZERSDORF,,	1936-01-01,,Operational,Operational,Land (fixed),0-20000-0-11037|primary,Europe,,Austria,48.19972229,16.5591659546,154,(unknown),UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET;AUT;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Total radiation measurements.,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of low altitude,,"GBON:Operational, GOS General:Operational",	2021-09-30,Silke Adler
GUMPOLDSKIRCHEN,,	1990-11-01,,Operational,Operational,Land (fixed),0-20000-0-11082|primary,Europe,,Austria,48.0358314514,16.280834198,212,(unknown),,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2021-09-28,AUT NMHS
GUTENSTEIN-MARIAHILFBERG,,,,Operational,Operational,Land (fixed),0-20000-0-11378|primary,Europe,,Austria,47.8713888889,15.8761111111,708.9,,,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2021-04-26,AUT NMHS
HAHNENKAMM/EHRENBACHHOEHE,,	1938-01-01,,Silent,Unknown,Land (fixed),0-20000-0-11135|primary,Europe,,Austria,47.4183349609,12.359167099,1793.8,(unknown),UTC+1,Central Institute for Meteorology and Geodynamics-Department for Environmental Meteorology,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;M;MONT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station.,Snow - Fully humid - Cool summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,GOS General:Non-reporting,	2021-09-28,AUT NMHS
