Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,Program/Network approval status,	Last updated date,Last updated by
ANNABA,,	1927-01-01,,Operational,Operational,Land (fixed),0-20000-0-60360|primary,Africa,,Algeria,36.822222,7.8025,3,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of very low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,SABBA Abdelhadi
ARAK,ARAK (60660-0),	2007-09-18,,Operational,Silent,Land (fixed),0-20000-0-60660|primary,Africa,,Algeria,25.2666666667,3.7333333333,556,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-10-09,Abdelhadi HARROUZ
ARZEW,,	1984-01-01,,Operational,Operational,Land (fixed),0-20000-0-60452|primary,Africa,,Algeria,35.81688,-0.26837,3,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);METAR;RBCN;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within plains of very low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved",	2021-09-08,Mohamed Mezred
ASSEKREM,,	2007-08-14,,Operational,Partly operational,Land (fixed),0-20000-0-60679|primary,Africa,,Algeria,23.26116,5.63115,2710,GPS,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;OZONE (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ozone observations.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at high relative elevation within rises of high altitude,,GOS General:Operational,GOS General:Approved,	2022-05-24,Mohamed Mezred
Assekrem,,	1997-03-01,,Operational,Unknown,Land (fixed),0-20008-0-ASK|primary,Africa,,Algeria,23.26116,5.63115,2710,GPS,UTC+1,,http://www.meteo.dz/html/station_vag.htm,,The station is located on the summit (plateau) of the second highest point of the Hoggar mountain range in the Saharan desert. The site is very remote at a distance of 50 km from Tamanrasset. Touristic activities in the area are limited due to difficult access to a few dozen visitors per day. Vegetation is extremely sparse.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at high relative elevation within rises of high altitude,,"GAW Global:Operational, NOAA-GML:Operational","GAW Global:Approved,NOAA-GML:Approved",	2023-09-21,Sidi BAIKA
BARAKI,,	2008-01-22,,Operational,Silent,Land (fixed),0-20000-0-60394|primary,Africa,,Algeria,36.6833333333,3.1,32,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2022-10-10,Mohamed Mezred
BARIKA,,	1987-08-01,,Operational,Operational,Land (fixed),0-12-0-05BATCN60471|primary,Africa,,Algeria,35.34787,5.33993,460,GPS,UTC+1,Office National de la Meteorologie Algeria,,,,Desert - Cold arid,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,19|460,GOS General:Operational,GOS General:Approved,	2023-06-01,Mohamed Mezred
BATNA,,	1878-01-01,,Operational,Operational,Land (fixed),0-20000-0-60468|primary,Africa,,Algeria,35.76083,6.31972,821.29,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,SABBA Abdelhadi
BECHAR,,	1949-01-01,,Operational,Operational,Land (fixed),0-20000-0-60571|primary,Africa,,Algeria,31.65428,-2.25236,808.64,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(ST);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(ST) - deprecated:Approved",	2024-10-13,SABBA Abdelhadi
BEJAIA-AEROPORT,,	1968-11-01,,Operational,Operational,Land (fixed),0-20000-0-60402|primary,Africa,,Algeria,36.7166666667,5.0666666667,1.76,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,SABBA Abdelhadi
BENI OUNIF,,	2010-05-01,,Operational,Operational,Land (fixed),0-12-0-08BECCN60577|primary,Africa,,Algeria,32.05138,-1.26527,830,GPS,,Office National de la Meteorologie Algeria,,,,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,GOS General:Operational,GOS General:Approved,	2023-06-01,Mohamed Mezred
BENI-ABBES,,	1931-01-01,,Operational,Operational,Land (fixed),0-20000-0-60602|primary,Africa,,Algeria,30.12846,-2.14953,510,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of middle altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Pending,RBSN(S) - deprecated:Approved",	2023-08-08,Madjid Aberkane
BENI-SAF,,	1977-01-01,,Operational,Operational,Land (fixed),0-20000-0-60518|primary,Africa,,Algeria,35.30099,-1.39514,68,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);METAR;RBCN;RBSN(S);SEA;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations.,Warm temperate - Dry and hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of very low altitude,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2021-09-08,Mohamed Mezred
BIDON 5,,	2008-06-17,,Operational,Partly operational,Land (fixed),0-20000-0-60685|primary,Africa,,Algeria,22.3166666667,1.1166666667,392,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-10-02,Abdelhadi HARROUZ
BISKRA,,	1878-01-01,,Operational,Operational,Land (fixed),0-20000-0-60525|primary,Africa,,Algeria,34.8,5.7333333333,82,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,SABBA Abdelhadi
BORDJ EL BAHRI,,	1983-01-01,,Operational,Silent,Land (fixed),0-20000-0-60376|primary,Africa,,Algeria,36.7833333333,3.25,16,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2022-10-10,Mohamed Mezred
BORDJ HAOUAS,,	2008-04-08,,Operational,Partly operational,Land (fixed),0-20000-0-60664|primary,Africa,,Algeria,24.8333333333,8.3166666667,1104,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
BORDJ-BADJ-MOKHTAR,,	1985-01-01,,Operational,Operational,Land (fixed),0-20000-0-60686|primary,Africa,,Algeria,21.37609,0.93205,395,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,SABBA Abdelhadi
BORDJ-BOU-ARRERIDJ,,	1979-01-01,,Operational,Operational,Land (fixed),0-20000-0-60444|primary,Africa,,Algeria,36.06752,4.79452,955,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2022-06-16,Madjid Aberkane
BOU-SAADA,,	1984-01-01,,Operational,Operational,Land (fixed),0-20000-0-60515|primary,Africa,,Algeria,35.3333333333,4.2,459,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;METAR;RBCN;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational","CLIMAT(C) - deprecated:Approved,GBON:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Approved",	2024-10-02,Abdelhadi HARROUZ
BOUCHEGOUF,,	1992-08-01,,Operational,Partly operational,Land (fixed),0-12-0-24GUECN60405|primary,Africa,,Algeria,36.45821,7.70874,110,GPS,,Office National de la Meteorologie Algeria,,,,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,27|890,GOS General:Operational,GOS General:Approved,	2023-06-01,Mohamed Mezred
BOUHAROUN,,	1989-01-01,,Operational,Operational,Land (fixed),0-12-0-42TIPCN60377|primary,Africa,,Algeria,36.625972,2.656833,2,GPS,UTC+1,Office National de la Meteorologie Algeria,,,,Warm temperate - Dry and hot summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of very low altitude,16|810,GOS General:Operational,GOS General:Approved,	2024-10-16,Abdelhadi HARROUZ
BOUIRA,,	1989-11-01,,Operational,Operational,Land (fixed),0-12-0-10BRACN60417|primary,Africa,,Algeria,36.36997,3.89507,555,GPS,UTC+1,Office National de la Meteorologie Algeria,,,,Warm Temperate - Fully humid - Hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of middle altitude,32|1110,GOS General:Operational,GOS General:Approved,	2023-06-01,Mohamed Mezred
BOUZAREAH,,	2008-03-17,,Operational,Silent,Land (fixed),0-20000-0-60372|primary,Africa,,Algeria,36.7833333333,3,296,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2022-10-10,Mohamed Mezred
CHLEF,,	1963-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-60425|primary,Africa,,Algeria,36.21635,1.3217,159,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,SABBA Abdelhadi
CONSTANTINE,,	1934-01-01,,Operational,Operational,Land (fixed),0-20000-0-60419|primary,Africa,,Algeria,36.2778,6.62832,685.2,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,SABBA Abdelhadi
Columb-Béchar,,	1961-01-01,	1961-01-01,Closed,Unknown,Land (fixed),0-20008-0-BEC|primary,Africa,,Algeria,31.6299991608,-2.25,806,,UTC+1,,,,"station closed for measurement ozone, but it is fully operationnal in meteorological parameters (continue ) with two radiosaondages per day : 00 + 12 UTC",Desert - Hot arid,,,,,GAW Regional:Closed,GAW Regional:Approved,	2007-12-10,
DAR EL BEIDA VILLE,,	2007-07-04,,Operational,Silent,Land (fixed),0-20000-0-60393|primary,Africa,,Algeria,36.7,3.2,30,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
DAR-EL-BEIDA,,	2021-02-04,,Operational,Operational,Land (fixed),0-20000-0-60390|primary,Africa,,Algeria,36.68993,3.21662,25,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);EVAP;GSN;METAR;RBCN;RBSN(ST);SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within plains of very low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,GSN:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(ST) - deprecated:Approved",	2024-10-13,SABBA Abdelhadi
DELLYS,,	1990-04-01,,Operational,Operational,Land (fixed),0-12-0-35BOUCN60387|primary,Africa,,Algeria,36.89671,3.95527,6,GPS,UTC+1,Office National de la Meteorologie Algeria,,,,Warm temperate - Dry and hot summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of low altitude,48|930,GOS General:Operational,GOS General:Approved,	2023-06-01,Mohamed Mezred
DJANET,,	1924-01-01,,Operational,Operational,Land (fixed),0-20000-0-60670|primary,Africa,,Algeria,24.28823,9.46766,968,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,SABBA Abdelhadi
DJELFA,,	1878-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-60535|primary,Africa,,Algeria,34.65361,3.28138,1180,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);METAR;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Steppe - Cold arid,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of high altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2021-09-08,Mohamed Mezred
EL HARRACH,,	2007-04-02,,Operational,Silent,Land (fixed),0-20000-0-60381|primary,Africa,,Algeria,36.7166666667,3.15,51,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2021-09-15,Mohamed Mezred
EL-BAYADH,,	1977-04-01,,Operational,Operational,Land (fixed),0-20000-0-60550|primary,Africa,,Algeria,33.71966,1.09484,1361,,UTC+1,Office National de la Meteorologie Algeria,,,El-bayadh station was transferred from the older site to el bayadh airport from 04 march 2017,Steppe - Cold arid,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of high altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,SABBA Abdelhadi
